"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.635800810482045,0.611776609262827,-1.9502272803513,6,10,12,"SARC"
-50,-0.232490063069833,0.463395666210764,-1.03081489121664,12,20,16,"SARC"
-40,-0.247392407374218,0.290051306178394,-0.717028978433344,14,20,16,"SARC"
-30,-0.352076030658497,0.0156528790107642,-0.757646845724738,11,20,16,"SARC"
-20,-0.121196975545511,0.262785946496871,-0.547431235951623,12,20,13,"SARC"
-10,-0.0171031273866878,0.354416966096736,-0.474830779680296,12,20,15,"SARC"
0,-0.345626496731138,0.0968641521785443,-0.823117986328388,12,20,15,"SARC"
10,-0.605017007890536,-0.0988122007598787,-0.871413291559302,11,20,14,"SARC"
20,-0.552913118883172,-0.00204594251758545,-0.928024543781783,10,20,14,"SARC"
30,-0.476473910661614,-0.0153024467231564,-0.933846791119803,12,20,14,"SARC"
40,-0.294053952067489,0.000846023994373533,-0.586922568371014,12,20,15,"SARC"
50,-0.156827742694812,0.191736683361337,-0.504872243459055,15,20,16,"SARC"
60,-0.0548940878740358,0.341924043201093,-0.445840203280287,12,20,17,"SARC"
70,-0.15274151843516,0.268129757253954,-0.48077897909411,15,20,17,"SARC"
80,0.0166191006085442,0.483940243448318,-0.371589598521536,14,20,16,"SARC"
90,0.217946780018709,0.609801698894085,-0.201148399979197,9,20,17,"SARC"
100,-0.161792497726614,0.404480944855795,-0.638561958517022,13,20,17,"SARC"
110,0.135567798344217,0.700995936202007,-0.426873548424635,15,20,18,"SARC"
120,0.699031563227888,1.09080457636158,0.208416535470107,15,20,17,"SARC"
130,0.347462540347895,0.937415269458195,-0.295992711021281,14,20,18,"SARC"
140,-0.00896733048996604,0.407113763034986,-0.457938410011048,15,20,19,"SARC"
150,0.466983967914021,0.881330027176776,0.0558512044097831,12,20,19,"SARC"
160,0.376947880029154,0.783816880570405,-0.103894626512396,15,20,17,"SARC"
170,0.0494101283731313,0.475383117023186,-0.400393128740219,13,20,19,"SARC"
180,0.20703588093845,0.746324905628597,-0.234398118660605,15,20,19,"SARC"
190,0.344482099727625,1.13375790621755,-0.609949650998167,12,20,19,"SARC"
200,-0.0496271269367538,0.703978966850985,-0.788321707489559,15,20,17,"SARC"
