"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,-0.470054577907118,1.09714648694209,-1.97002010184666,5,10,5
-50,-0.184466384337473,0.921423547154839,-1.19475161936375,5,20,6
-40,0.23749443912407,0.489509658309094,-0.0559448920927184,5,20,7
-30,0.468519192803973,0.793818594624398,-0.363190823190693,7,20,8
-20,0.477661556595743,1.07536280374965,-1.79525215372275,5,20,8
-10,0.621742501956473,1.12597747258233,-1.45801722891226,6,20,6
0,0.653369163263635,0.987583176309808,0.270230053078739,6,20,6
10,0.045356001019105,0.728495962964096,-0.848854407713761,4,20,6
20,0.113987681105386,1.02391661218606,-0.843302087133061,5,20,6
30,0.180104524334322,1.25403936106543,-1.13493581412504,6,20,8
40,-0.0929858100098458,0.55470003380529,-0.869282457041647,8,20,8
50,-0.269892076008958,0.389137589201065,-0.950454455044975,6,20,8
60,0.229889282101692,0.793237864348368,-1.0013713400935,3,20,6
70,0.677986167562679,0.908607402714652,-0.38986389092954,5,20,5
80,0.374047080025319,0.822656510860422,-0.435544516052775,5,20,6
90,0.299744327234022,0.662843249737735,-0.330135352664489,4,20,7
100,0.0547347401919712,0.638073747126536,-0.697853935566645,6,20,6
110,-0.330140052881608,0.32736246047508,-1.02062514789414,5,20,6
120,-0.125024119505276,0.112495230323443,-0.493310298881695,3,20,5
130,-0.161291894641747,0.362045651038557,-0.835952445148434,4,20,5
140,0.0559075830520203,0.299859439434692,-0.826414778333716,4,20,5
150,-0.177521998904448,0.221290301827726,-0.984354767703231,4,20,6
160,-0.325845709383638,0.37919391710859,-0.802366071350706,5,20,7
170,-0.438717336591786,0.160613018757237,-0.855516461190587,5,20,6
180,-0.626603904151278,-0.130198588759359,-1.0265708931605,4,20,7
190,-0.894672874950983,-0.154263219438057,-1.27950228509004,5,20,5
200,-0.910712818173835,0.183965828862746,-1.47591041082791,4,10,5
