"","x"
"1",257
"2",258
"3",259
"4",262
"5",276
"6",277
"7",278
"8",282
"9",283
"10",284
"11",285
"12",289
"13",293
"14",304
"15",399
"16",400
"17",401
"18",402
"19",411
"20",430
"21",431
"22",432
"23",433
"24",436
"25",437
"26",438
"27",444
"28",470
"29",471
"30",472
"31",473
"32",474
"33",475
"34",496
"35",497
"36",498
"37",501
"38",502
"39",503
"40",506
"41",510
"42",514
"43",516
"44",517
"45",591
"46",600
"47",602
"48",608
"49",611
"50",612
"51",613
"52",614
"53",617
"54",618
"55",619
"56",620
"57",648
"58",650
"59",652
"60",654
"61",655
"62",656
"63",665
"64",668
"65",669
"66",670
"67",674
"68",675
"69",676
"70",677
"71",678
"72",682
"73",687
"74",689
"75",708
"76",709
"77",710
"78",720
"79",722
"80",724
"81",726
"82",728
"83",732
"84",733
"85",734
"86",735
"87",754
"88",756
"89",765
"90",767
"91",768
"92",770
"93",777
"94",797
"95",832
"96",1740
"97",2151
"98",2217
"99",2235
"100",2298
"101",2302
"102",2308
"103",2312
"104",2313
"105",2318
"106",2319
"107",2340
"108",2342
"109",2343
"110",2348
"111",2354
"112",2355
"113",2356
"114",2365
"115",2367
"116",2370
"117",2375
