"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,0.318465275638127,1.11448467547976,-0.319436866755144,9,10,27,"AUST"
-50,-0.132596572964902,0.280993342350017,-0.602058511944423,27,20,36,"AUST"
-40,-0.378819713602925,0.00240225607859571,-0.750722380195975,27,20,40,"AUST"
-30,-0.116395829298144,0.227796643736299,-0.460827851947563,28,20,37,"AUST"
-20,-0.0253026761209811,0.32249679351209,-0.437550684867691,25,20,35,"AUST"
-10,0.105166819442074,0.344098390447613,-0.133539837824585,26,20,56,"AUST"
0,-0.0113817647291214,0.227634489652468,-0.23851981691802,48,20,56,"AUST"
10,0.111405427152636,0.436004260456106,-0.202248098904207,35,20,58,"AUST"
20,0.0207160553080225,0.285710592348629,-0.239658339365868,37,20,47,"AUST"
30,0.0413531686165514,0.284186310880376,-0.205849548097345,37,20,48,"AUST"
40,0.0210666655839577,0.218984196086587,-0.184056730737033,41,20,51,"AUST"
50,-0.216194161718431,0.0606368236402026,-0.496583132523332,39,20,53,"AUST"
60,-0.0602515036818514,0.238114452507229,-0.357103766363544,36,20,53,"AUST"
70,0.164831079985202,0.356713675025385,-0.0245556305870863,39,20,50,"AUST"
80,0.0992056556543463,0.345226090504388,-0.124927988147518,35,20,49,"AUST"
90,-0.0175799476998344,0.23452154049977,-0.319247743727757,32,20,49,"AUST"
100,-0.171425444439954,0.109353167368293,-0.443052285057755,33,20,50,"AUST"
110,-0.244857009260005,0.114578598494237,-0.58730694129823,27,20,48,"AUST"
120,-0.00219093836843491,0.31357224100724,-0.340291958951604,31,20,41,"AUST"
130,-0.102850717861368,0.259296199860947,-0.472362239894356,30,20,40,"AUST"
140,-0.0436892029143151,0.332732961696894,-0.417599468302048,28,20,39,"AUST"
150,0.0525147283654618,0.429188066758207,-0.350602444736561,27,20,40,"AUST"
160,0.148248427245174,0.481959302720822,-0.204217968571288,28,20,39,"AUST"
170,-0.137899374243491,0.158510821235672,-0.461748715190617,31,20,39,"AUST"
180,-0.352599602068989,0.148461288343576,-0.805994476685377,26,20,42,"AUST"
190,-0.00760275518780043,0.389574929047007,-0.379706524231847,27,20,40,"AUST"
200,0.0329350732275811,0.517217193768061,-0.374945270891979,31,10,35,"AUST"
