"age","locfit","cu95","cl95","nsites","window","ninwin","Region"
-60,-0.345017498405311,0.412855885565651,-1.16873405810451,11,10,12,"BOAS"
-50,-0.218410454040359,0.409496845983702,-0.891429982652175,10,20,13,"BOAS"
-40,-0.278281037048424,0.591572293131159,-1.1352680493737,9,20,12,"BOAS"
-30,0.0503827149826372,0.885308823063786,-0.934984406185312,9,20,11,"BOAS"
-20,0.142937706874018,0.779931213846249,-0.655263301587721,8,20,11,"BOAS"
-10,0.0193841542621343,0.515635558312544,-0.493072881523302,9,20,11,"BOAS"
0,-0.224430407673242,0.165711943157271,-0.63629563156009,8,20,13,"BOAS"
10,-0.318774198224799,0.264717035517676,-0.802633323166344,10,20,12,"BOAS"
20,-0.112701265021992,0.469234044102794,-0.653892106138871,8,20,12,"BOAS"
30,-0.0649848828453235,0.524128222398478,-0.64284420551071,9,20,12,"BOAS"
40,0.0160635263373623,0.624598165766519,-0.618767454172399,9,20,11,"BOAS"
50,-0.134968784674355,0.405872731541408,-0.925008927194159,9,20,12,"BOAS"
60,-0.0256827367301677,0.427265957512444,-0.693543801394029,10,20,12,"BOAS"
70,0.132458766323575,0.619741362123777,-0.379795250982195,10,20,12,"BOAS"
80,0.272237098552951,0.731773028804402,-0.302128838786676,8,20,11,"BOAS"
90,0.0420164378003832,0.568246571230439,-0.492411663428136,7,20,12,"BOAS"
100,0.0801408878429245,0.667291836578809,-0.453784043171707,10,20,12,"BOAS"
110,0.437772855076417,1.01088508445568,-0.1119419144626,11,20,14,"BOAS"
120,0.332802747227022,0.811980067025071,-0.115924745717444,11,20,16,"BOAS"
130,-0.343306855436416,0.0713479881285563,-0.797118965187778,11,20,16,"BOAS"
140,-0.434455563848183,0.028413055988526,-0.935197746588648,12,20,14,"BOAS"
150,-0.101700380188313,0.362682044030816,-0.627446420731144,9,20,14,"BOAS"
160,0.180553227244457,0.61075679872086,-0.344577483326165,9,20,13,"BOAS"
170,-0.0875468365723461,0.416076281792121,-0.638795963373824,10,20,12,"BOAS"
180,-0.142573726163437,0.54871926219636,-0.891709948460708,9,20,14,"BOAS"
190,0.240514687256908,0.947466208577819,-0.486988191653701,10,20,15,"BOAS"
200,0.228918999997288,0.852600085623649,-0.418412011160653,11,10,13,"BOAS"
