"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,0.222285769674784,0.781461295757343,-0.328013893614379,11,10,24
-50,-0.0556072630391732,0.220842420595754,-0.378359623198998,24,20,28
-40,-0.193041760770703,0.153945903758645,-0.496666559113109,23,20,29
-30,-0.224922696732661,0.0578515595828078,-0.485262260398917,24,20,26
-20,-0.026277724038974,0.313945843497349,-0.346162157271666,22,20,28
-10,-0.00286539439288307,0.314128414049108,-0.408111250991073,22,20,30
0,-0.101727985827101,0.244574514768498,-0.451381486103184,29,20,34
10,-0.0460197635266203,0.342878113430218,-0.39647259538675,27,20,38
20,-0.0756774296182948,0.228110683056355,-0.359412380494433,29,20,36
30,-0.318639563882905,0.0238612937555583,-0.704546085529128,27,20,37
40,-0.318362827642613,0.0222508673641228,-0.675911925875878,25,20,34
50,-0.184615408518298,0.222342677418764,-0.543112678587017,23,20,33
60,0.111851176699867,0.466044762126015,-0.263300549966114,27,20,34
70,0.00313424897867611,0.307331166173354,-0.324470143872958,27,20,36
80,-0.106333631635668,0.23340965743964,-0.422952686795163,25,20,39
90,-0.10008876489881,0.182118576951943,-0.443189367817471,27,20,34
100,-0.215235578712767,0.0488819423899949,-0.498488665435358,22,20,32
110,0.162408816772009,0.519844984306594,-0.206976924197707,22,20,32
120,0.125861493704134,0.487526409016596,-0.244006996385893,23,20,32
130,-0.00535631919115799,0.327640025559771,-0.414239033325641,23,20,34
140,-0.017794670172868,0.298050520423902,-0.386870191267829,28,20,34
150,0.091162789627533,0.439628139393142,-0.293243782625694,23,20,32
160,0.128765879491055,0.532735098285526,-0.314148129562466,20,20,29
170,0.462050797890408,0.866446173542441,0.0267036772161356,19,20,30
180,-0.0471779705242611,0.391826560317179,-0.49195528977267,25,20,32
190,-0.0500376429343419,0.383502778697262,-0.480195921697506,25,20,36
200,0.115565260471708,0.500822207448101,-0.267467169729072,24,10,32
