"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,-0.422741915079231,-0.184194755097278,-0.673343616206211,59,10,81
-50,-0.44789154035126,-0.244441500692908,-0.649752753710115,73,20,91
-40,-0.218855830559196,-0.0057053850220956,-0.435978937775797,72,20,95
-30,-0.166159156347148,0.017865029456529,-0.361722055950429,77,20,95
-20,-0.0759038022672878,0.0909166507439883,-0.250740575241841,84,20,98
-10,-0.0203695403068219,0.149185071394331,-0.204258057869593,74,20,142
0,-0.111271329682047,0.0261482032092187,-0.257373506301321,124,20,149
10,-0.134686806017752,0.0250384180050467,-0.290337044578331,104,20,162
20,0.0131828023950752,0.155099830459113,-0.118979466514622,120,20,141
30,0.0700972387317736,0.222894815322218,-0.0912203375133811,106,20,140
40,0.0527768749095347,0.210198062809884,-0.0857101612991885,95,20,135
50,0.0318171987981543,0.193903564512694,-0.119262925681731,109,20,142
60,0.126663657102664,0.281451837605881,-0.0222650006298871,106,20,144
70,0.0607243634822134,0.220445388323086,-0.117817089669227,107,20,143
80,0.0736129309130026,0.230298150350632,-0.0905392247237633,109,20,145
90,0.0573172242868239,0.228967359292754,-0.116754039954593,105,20,140
100,0.056616175786887,0.207151386883956,-0.080700325429987,109,20,139
110,-0.0193338212553795,0.127692204128694,-0.176380920483663,105,20,140
120,0.00656326901901677,0.169932127050235,-0.163164334157888,101,20,142
130,-0.0285642657331369,0.14042855787532,-0.192890650546267,107,20,150
140,0.00785081375461524,0.176134765736507,-0.158064053336706,111,20,146
150,0.0860484729447316,0.270552984567487,-0.0929982996917029,104,20,151
160,0.0526290528538181,0.260356934269978,-0.126412270008279,108,20,154
170,0.0497405581635181,0.24742109192729,-0.121343244623134,115,20,163
180,-0.0516680388805628,0.138946646440798,-0.230116773402945,113,20,157
190,-0.0616827427640092,0.140252269094084,-0.252367646492758,103,20,140
200,0.104191600908584,0.323977232687001,-0.127143976955117,85,10,118
