"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,0.705598520289102,0.875926886705181,0.0229340898051363,3,20,6,"ARCD"
-50,0.276345209717609,0.768453693495385,-0.47115197940068,6,20,7,"ARCD"
-40,0.0645315087335955,0.718004501456443,-0.996223461216689,3,20,10,"ARCD"
-30,0.463965579502572,1.04918596092449,-0.0503506218250339,6,20,8,"ARCD"
-20,0.201908299203016,0.748797183032888,-0.326376996722917,8,20,9,"ARCD"
-10,0.10423889330454,0.765685098816217,-0.591028929419442,5,20,16,"ARCD"
0,-0.083792042276285,0.967877173091552,-0.705499181665135,9,20,17,"ARCD"
10,0.639877008175565,0.895888869071416,0.154696493661368,9,20,15,"ARCD"
20,0.65590297184572,0.893077126804968,0.338696492978729,9,20,13,"ARCD"
30,-0.0807471297847772,0.279030440584699,-0.253365961408285,7,20,12,"ARCD"
40,-0.223173683971385,0.179288683957903,-1.14859972163485,7,20,10,"ARCD"
50,-0.461866947577352,0.139985039694986,-1.33784299044014,6,20,13,"ARCD"
60,-0.459460592388013,-0.202988462582413,-0.757219586975746,11,20,14,"ARCD"
70,-0.370205145634933,0.114926506409478,-0.727575017869752,12,20,16,"ARCD"
80,-0.143840785040906,0.500385507595569,-0.657833547867777,9,20,16,"ARCD"
90,-0.432793609545324,0.127287301930704,-0.671417486897711,9,20,15,"ARCD"
100,-0.296720363756412,0.0784382303716554,-0.645993962604962,10,20,14,"ARCD"
110,-0.121095879598824,0.403321145934962,-0.631300013844724,8,20,14,"ARCD"
120,0.227845425152783,0.824664190277694,-0.324107098768052,9,20,15,"ARCD"
130,0.212611621497189,0.828781306830867,-0.424694981765741,10,20,12,"ARCD"
140,0.168279792822019,0.769230310732533,-0.497990701784586,7,20,15,"ARCD"
150,-0.749332976683753,-0.305716373617337,-1.18618950737867,8,20,14,"ARCD"
160,-0.696727523606877,-0.255876748662097,-1.08642779263604,11,20,14,"ARCD"
170,-0.584091219948123,-0.0858615839815319,-1.18079684402867,10,20,17,"ARCD"
180,-0.711390510657281,-0.184346225070148,-1.24218384530665,12,20,17,"ARCD"
190,-0.059466396884845,0.47533577997244,-0.787804074707613,10,20,16,"ARCD"
200,-0.277343795698075,0.438024457643765,-1.00502233183489,11,20,12,"ARCD"
