"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,-0.394136531662342,0.387948695058526,-0.878526727090026,2,20,7,"SEAS"
-50,0.0113324021056131,0.595153683557415,-0.480123895847982,7,20,7,"SEAS"
-40,-0.00354418526666998,0.602893829756396,-0.525920943293867,7,20,8,"SEAS"
-30,-0.203678863576224,0.705729732775064,-1.32054706792318,3,20,8,"SEAS"
-20,0.135747953266712,0.696943964367182,-0.394489211170766,3,20,8,"SEAS"
-10,0.27838016915946,0.54197795412434,-0.152797271504297,7,20,18,"SEAS"
0,-0.327914046520223,0.0974444002078281,-0.677129495440786,16,20,17,"SEAS"
10,-0.41004935050811,0.0549392891272056,-0.947675017224427,10,20,19,"SEAS"
20,-0.0141400836347635,0.483822500931019,-0.595321602738599,12,20,15,"SEAS"
30,0.0984988499239743,0.585875322022893,-0.479096822779257,13,20,15,"SEAS"
40,-0.177487336453227,0.281266261824077,-0.6479677780011,11,20,15,"SEAS"
50,-0.335909345006788,0.188543137568645,-0.762982250367378,12,20,14,"SEAS"
60,0.0292896345110385,0.596722844104578,-0.44317805574505,12,20,17,"SEAS"
70,0.226570863198024,0.740550296320229,-0.327513725825922,15,20,19,"SEAS"
80,-0.0539301275976202,0.412437686896211,-0.430587220872566,18,20,19,"SEAS"
90,0.0961888261263825,0.429404561295523,-0.199610516165662,15,20,22,"SEAS"
100,0.0549174182278698,0.415023629608696,-0.334184239844225,15,20,20,"SEAS"
110,-0.206030943981159,0.115949340983215,-0.509168843492571,16,20,19,"SEAS"
120,-0.135933197614031,0.318247411676859,-0.518878842186106,14,20,22,"SEAS"
130,0.107473054363752,0.497180885678646,-0.285287815598052,17,20,21,"SEAS"
140,-0.108714195169764,0.292411022772628,-0.509196533187654,17,20,21,"SEAS"
150,-0.0706378410991655,0.404087324418526,-0.58910041082624,16,20,19,"SEAS"
160,-0.163341151902848,0.382670857114852,-0.774776877997347,12,20,17,"SEAS"
170,0.00623183094784741,0.587136968523171,-0.664252316198836,11,20,18,"SEAS"
180,-0.103486189728427,0.391365449243343,-0.662095718650936,16,20,19,"SEAS"
190,-0.349470715665129,0.204299219347281,-0.752318925255673,17,20,19,"SEAS"
200,-0.321409860201082,0.421936918182524,-0.693812726423641,13,20,19,"SEAS"
