"site","lambda","likelihood","mean","stdev"
"0173Max","0","8.39570905400545","0.308615918457788",NA
"0388Sar","0.1","2.4219007439664","0.281442712104295","0.139307673713664"
"0389San","-0.24","39.0311305556105","0.683947083046056","0.216206653100482"
"0783Mar","0.0600000000000001","-32.6908550217491","0.101358679574188","0.175558382810587"
"0790Car","0.22","-3.18382180692826","0.702037125909175","0.141418123896006"
"0847Yag","0.26","-13.3886628825048","0.164999011161371","0.233343839362561"
"1604VAL","0","2.22969107215027","0.5","0.707106781186548"
"1610PRD","-0.18","29.8103437055801","0.375239925029496",NA
"1612PRD","-0.12","8.78139664662067","0.473978874624466","0.433272722920567"
"2037Lak","-0.56","219.967836995488","0.895790108183101","0.0863649667544092"
"2040Lag","-0.0999999999999999","13.0440840798851","0.546234930574203","0.102107091735892"
"2046Lag","0.12","-13.1085507767565","0.592813297154353","0.0345528913912469"
"2137Lag","0.42","-1.85725770793446","0.330708623583957","0.270759321074245"
"2138Lag","-0.82","73.9453469255677","0.457639653852588",NA
"2141Cac","-0.6","125.772832960304","0.243532457190224",NA
"2161PAC","0.04","34.8660132905975","0.252388172446466",NA
"2208El ","-0.28","29.8470780041643","0.757059728317837","0.191852399691211"
"2306Com","-1.1","57.2349724068072","0.397500777349237","0.562150990381139"
"2315Gen","-0.76","200.194562233653","0.0588522109110852","0.186107031815642"
"2316Ger","0.1","-4.04783261233914","0.308469639882633","0.20405634083373"
"2323Lag","-0.3","43.8531358512716","0.302288402183415","0.427500358115878"
"2325Lag","-0.12","45.789533185267","0.457659557921626","0.428614248938829"
"2326Lag","0.0600000000000001","7.49563432041973","0.561084459015916",NA
"2327Lag","0.14","6.59078174757117","0.0292898644268744",NA
"2328Lag","-0.04","32.8984898617323","0.520614693036082","0.32081958278438"
"2330Lag","-0.04","0.486630162345078","0.675688766879578",NA
"2347Lak","-0.56","132.135663941876","0.31002630914642","0.0194309428365983"
"2350Lak","0.2","29.0810624964354","0",NA
"2357Par","-0.18","51.069569161959","0.0419463912460705","0.0902999085097157"
"2364Rio","-0.2","14.1452389817966","0.45596551339014","0.644832613010747"
"2368Sur","-0.88","153.745662880968","0.418007025637962",NA
"2372Var","-0.88","58.5479501491237","0.596029480342684","0.139449830937015"
"2374Wer","-2","400.519232250436","0","0"
