"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
618,108487,0,-41,0.1,40,400,40,"INFL","calculated from influx ","data"
618,108488,0.01,-31,0.1,120,1200,120,"INFL","calculated from influx ","data"
618,108489,0.02,-21,0.1,140,1400,140,"INFL","calculated from influx ","data"
618,108490,0.03,-11,0.1,100,1000,100,"INFL","calculated from influx ","data"
618,108491,0.04,-1,0.1,470,4700,470,"INFL","calculated from influx ","data"
618,108492,0.05,9,0.1,1260,12600,1260,"INFL","calculated from influx ","data"
618,108493,0.06,19,0.0952380952380953,850.499999999999,8930.24999999998,850.499999999999,"INFL","calculated from influx ","data"
618,108494,0.07,30,0.0952380952380952,924,9702.00000000001,924,"INFL","calculated from influx ","data"
618,108495,0.08,40,0.0952380952380952,556.5,5843.25,556.5,"INFL","calculated from influx ","data"
618,108496,0.09,51,0.090909090909091,275,3025,275,"INFL","calculated from influx ","data"
618,108497,0.1,62,0.0909090909090909,407,4477,407,"INFL","calculated from influx ","data"
618,108498,0.11,73,0.0909090909090909,176,1936,176,"INFL","calculated from influx ","data"
618,108499,0.12,84,0.090909090909091,110,1210,110,"INFL","calculated from influx ","data"
618,108500,0.13,95,0.0869565217391305,529,6083.49999999999,529,"INFL","calculated from influx ","data"
618,108501,0.14,107,0.0869565217391303,241.5,2777.25000000001,241.5,"INFL","calculated from influx ","data"
618,108502,0.15,118,0.0869565217391305,218.5,2512.75,218.5,"INFL","calculated from influx ","data"
618,108503,0.16,130,0.0833333333333334,408,4896,408,"INFL","calculated from influx ","data"
618,108504,0.17,142,0.0833333333333332,372.000000000001,4464.00000000002,372.000000000001,"INFL","calculated from influx ","data"
618,108505,0.18,154,0.0833333333333334,132,1584,132,"INFL","calculated from influx ","data"
618,108506,0.19,166,0.0833333333333334,144,1728,144,"INFL","calculated from influx ","data"
618,108507,0.2,178,0.0833333333333332,336.000000000001,4032.00000000002,336.000000000001,"INFL","calculated from influx ","data"
618,108508,0.21,190,0.0800000000000001,600,7499.99999999999,600,"INFL","calculated from influx ","data"
618,108509,0.22,203,0.0800000000000001,375,4687.5,375,"INFL","calculated from influx ","data"
618,108510,0.23,215,0.0799999999999998,337.500000000001,4218.75000000002,337.500000000001,"INFL","calculated from influx ","data"
618,108511,0.24,228,0.076923076923077,169,2197,169,"INFL","calculated from influx ","data"
618,108512,0.25,241,0.076923076923077,90.9999999999999,1183,90.9999999999999,"INFL","calculated from influx ","data"
618,108513,0.26,254,0.076923076923077,77.9999999999999,1014,77.9999999999999,"INFL","calculated from influx ","data"
618,108514,0.27,267,0.076923076923077,104,1352,104,"INFL","calculated from influx ","data"
618,108515,0.28,280,0.0769230769230766,234.000000000001,3042.00000000003,234.000000000001,"INFL","calculated from influx ","data"
618,108516,0.29,293,0.0740740740740741,148.5,2004.75,148.5,"INFL","calculated from influx ","data"
618,108517,0.3,307,0.0740740740740741,108,1458,108,"INFL","calculated from influx ","data"
618,108518,0.31,320,0.0740740740740741,256.5,3462.75,256.5,"INFL","calculated from influx ","data"
