"site","lambda","likelihood","mean","stdev"
"0257Bla","-0.32","62.6437149165242","0.0306274097671272","0.0530482298208955"
"0258Bog","-0.02","12.7386182482046","0.183462553144442","0.109762347044119"
"0259But","-0.26","31.5779983762817","0.285961430668556","0.318890142806237"
"0262Dub","-0.32","8.60041321262918","0.596638217601018","0"
"0276Tad","0.46","3.81324254873883","0.477909439953366",NA
"0277Whi","0.14","4.37115554322371","0.821056052661586","0.111961611631656"
"0278Bux","0.12","-3.27045418775567","0.499021946543643","0.187973645643586"
"0282Mid","0.16","8.6552076440159","0.117381377257238","0.0838672862569916"
"0283Nor","-0.24","21.8406566498794","0",NA
"0284Oak","0.58","-12.027708354309","0.0321473838101712",NA
"0285Poe","0.78","-14.1369520879092","0.203094891292557",NA
"0289Sno","0.52","-9.20096998377186","0",NA
"0293Lak","-0.02","13.9906262853467","0",NA
"0304Tig","0.16","3.82723826729442","0.686549119932756","0.175866621136498"
"0399Aja","-1.68","165.688036335542","0.882151323876776","0.179348999602532"
"0400Cla","-1.06","86.245567057315","0.737547316453924","0.0305048652860896"
"0401Ewe","-1.12","136.358343579522","0.578553421500045","0.528788407202008"
"0402Gle","-0.74","124.470992365031","0.632984776838714","0.439426984427272"
"0411Goo","-0.26","102.252114211358","0.766438726773177","0.330305520242502"
"0430Sap","0.28","5.66060781090115","0.41759835004681","0.224130874581332"
"0431Bur","0.02","12.7694894970027","0.67028352709522","0.166662811065109"
"0432Kil","0.26","-4.66672418851536","0.331718407330296","0.0248624850539929"
"0433Bon","-1.06","95.8763116896203","0.712827856176009","0.207802183115423"
"0436Sol","0.0800000000000001","7.05899747301596","0.687726596748268",NA
"0437Yac","-0.58","56.6055933277991","0.930689340321946",NA
"0438Vol","0.22","-10.1004066568898","0.808435117079121",NA
"0444Wai","0.0800000000000001","5.37667462832647","0.892330839639933","0.078783410803722"
"0470War","0.26","-18.5600759395445","0.182336753052369",NA
"0471Bye","-0.14","13.8709183192104","0",NA
"0472Wet","-0.14","19.9790957094405","0.847881437597739","0.0993639889496402"
"0473Bob","0.16","-10.7828272990446","0.656228124668883","0.190898485624898"
"0474Kur","0.22","19.1222327615781","0.574415993463554","0.450218821016549"
"0475Rya","0.68","-0.999008822404997","0.385829264801752","0.216394543914765"
"0496Roc","0.22","4.22470978724017","0.654653126240899",NA
"0497CSB","-0.0999999999999999","14.6701690888863","0.784588552691815","0.217604661084743"
"0498Tom","0.56","2.24924846238412","0.409089678583954","0.22022906338487"
"0501Gin","0.24","2.69622389244004","0.534969724010557","0.280565245322018"
"0502DP3","0.1","1.3060600044672","0.868956716861301","0.219818746960071"
"0503Nur","-0.56","46.440359298466","0.84221237464898","0.175283282355322"
"0506Arg","-0.76","182.595460167334","0.975641210284968","0.0177936394576476"
"0510War","-0.4","133.497442691589","0.211438976931741","0.0299231895911133"
"0514Bar","-0.52","76.4590698292401","0.665002566658426","0.0401021423659104"
"0516Zur","-0.98","90.4105799819431","0.912035698467939","0.124400308231317"
"0517Mue","-0.24","23.6778657976991","0",NA
"0591Qua","-0.02","39.0767775844097","0.757258530263296","0.0247831721143863"
"0600Anu","0.0800000000000001","4.0750884621564","0",NA
"0602Cam","-0.02","7.19358726892352","0.804202168488869","0.173643888090289"
"0608Plu","-0.5","81.5219758052736","0.671770301985181","0.311917644774738"
"0611Gre","-1.24","421.133844839058","0.906117459184951","0.0836578220175384"
"0612Gri","-0.58","229.579905813869","0.25489656841293","0.253380541562109"
"0613Hop","0.22","-2.56791889006403","0.410570904659525","0.222857554535591"
"0614How","-0.92","276.608990016814","0.450357784931914","0.319405321705363"
"0617Lak","-0.0800000000000001","17.26138805176","0.136723709193128",NA
"0618Lak","0.14","4.7742918195371","0.58017493738973","0.235592547111111"
"0619Las","-0.12","20.6461209943606","0.504077321479386","0.11749757954644"
"0620Mai","0.02","26.832430910107","0.752357399117477","0.165746025936227"
