"site","lambda","likelihood","mean","stdev"
"0216Xin","-0.5","168.253299945582","0.669519210784645","0.170538439784754"
"0530Tel","-0.04","24.0825375831905","0.250948234029427","0.299022745105767"
"0569Bol","-0.4","40.9798702850524","0.926913490764114",NA
"0570Dul","0.18","23.7346412317151","0.293121267077997",NA
"0572Dug","0","4.2078243127478","0",NA
"1336Bat","0.34","-2.2209074565437","0","0"
"1353Gan","0.04","22.4332875967477","0.383461307951349","0.314333919150482"
"1376Lak","-0.26","113.622351014375","0.616585090836131","0.17459710461347"
"1392Mus","0.2","-4.35335149517008","0",NA
"1401San","0.26","-0.551088494372318","0.359642865451862","0.31667754057327"
"1410Tso","0.42","-17.7455387350109","0.260657246265654",NA
"1433Lar","-0.54","178.488843079414","0.428284168687956","0.0877391178963884"
"1440Mos","-0.16","25.8509142622423","0","0"
"1444Olg","-1.1","250.468261823648","0.344398737748129","0.286353534037341"
"1579Pin","-0.88","211.436699859038","0.484516510021353","0.181450078707897"
"1584Pol","-0.38","85.7573194483432","0.700455667724242","0.194631364054026"
"1586Akk","0.32","-23.3776041752028","0.753112472707235",NA
"1594Gru","0.54","-6.42780048943641","0",NA
"1632Kru","0.38","-6.94390923850198","0.495966709183731","0.0283881007326807"
"1634Man","0.26","-21.4584952877557","0.22281721250745","0.0533374399850429"
"1710Plo","0.0600000000000001","-76.6115868097044","0.510146766314942","0.228930818209338"
"1714Lak","0.16","-21.3303767369007","0.613605166441657","0.134174255032083"
"1719Yak","-2","795.202754409622","0.547052460174576","0.318886403121484"
"1721Yak","-2","2120.30341211931","0.47202276774132","0.221161940081174"
"2009Tuq","0.24","-21.0914918027052","0.19212931135072","0.166125888303786"
"2074Muk","-0.0800000000000001","28.2538551157738","0.498793044180379","0.192322597047448"
"2119Uzu","0.12","7.42329934179907","0.466376835925317","0.172427477759876"
"2468CHK","0.56","-15.3933375839778","0.318341394936383",NA
