"site","lambda","likelihood","mean","stdev"
"0271Nor","-0.16","-4.73462869822322","0.344952418745798","0.147633959299662"
"0302Sky","0.0600000000000001","-152.177805504205","0.499052821884637","0.238686790698631"
"0324Lac","0.54","0.983830085003064","0.466774875483935",NA
"0456Two","-0.22","55.7554675940183","0.43726653644936","0.351454123595923"
"0457OK ","-1.58","244.023718540606","0.667495773695443","0.314003753820794"
"0467LG4","0.22","9.50027165876551","0.482152668851753",NA
"0704Amo","-0.18","42.3077345303325","0.293470434488727","0.366491238647939"
"0705Ava","-0.16","24.2833561095909","0.287127305526612","0.336585284714156"
"1332Air","-2","496.457644984624","0.4883082944469","0.535460109856416"
"1333Air","-0.8","175.298041453972","0.415627240628064","0.460629980637644"
"1364LLC","-0.14","78.8944803913567","0.119420007468844","0.250445449308713"
"1368Lac","-0.02","-11.3067490408975","0.2076218629415","0.123447426833259"
"1369Lac","-0.2","83.0086820132007","0.466237363447042","0.143117446261885"
"1370Lac","-0.9","734.804843279911","0.189517121242392","0.170119235014664"
"1371Lac","0","110.251069755926","0.376908999446089","0.1057068846654"
"1372Lac","-0.02","9.61225129639652","0.105021999486292","0.101456264250347"
"1373Lac","-0.34","113.94981162784","0.353969391706537","0.168110168955351"
"1374Lac","-0.0600000000000001","-39.2619958317255","0.366176603790596","0.250274623952501"
"1387M-C","-0.9","96.3651579889827","0.246098774201341","0.445251251301183"
"1389Mor","-2","898.563226780067","0.213787120588921","0.424825324869795"
"1390MOS","-0.56","191.637746099031","0.178148846544439","0.272603536206977"
"1393Our","-0.8","59.6885704801011","0.25832753095994","0.447436408616439"
"1396Pla","-2","783.376951322997","0.278820551669053","0.424524677139447"
"1398Rad","-0.56","125.706739147624","0.179550082551779","0.325360229805295"
"1399Rom","-2","681.662122173739","0.131281383273542","0.321572401746927"
"1404STE","-0.24","141.491813762546","0.163031328325293","0.234213278397707"
"1411Uni","-0.0800000000000001","60.7301847048869","0.363402931909956","0.067169819884467"
"1417Aua","-2","251.373724943189","0","0"
"1421C-C","-0.48","74.4443043990465","0.19867361055808","0.365185058260968"
"1439Mis","-2","293.967092243696","0","0"
"1460BEN","-1.26","253.781652288851","0","0"
"1488Abe","-1.46","73.1752619139595","0","0"
"1490Aur","-0.96","779.063753056453","0.813450386019517","0.363250033797579"
"1491Ayl","-0.46","443.41403261832","0.302101727946182","0.284104200211327"
"1508Jac","-0.42","278.658231079977","0.504663624804134","0.0797698982317223"
"1518Ric","0.0600000000000001","-188.775698834454","0.653538890193374","0.244280916209638"
"1521Ste","0.04","-408.205904055221","0.37975022635547","0.263462620570248"
"1523Twi","-0.4","259.740068040874","0.311578998673106","0.159192649912339"
"1572Inn","-1.24","997.738773325786","0.506365441719683","0.315913870179357"
"1850LM0","0.1","-21.3079679782349","0.170667099269137","0.0543780598914393"
"1851EC0","0.0600000000000001","-27.0801434013055","0.267643599653572","0.094847109178327"
"1852MV0","0.26","-56.5418497704955","0.467864489814032","0.245697840990958"
"1853BN0","0.0800000000000001","19.086174827794","0.156030522138076",NA
"1854GB0","0.42","3.18137874834956","0.274108507685394",NA
"1855EC0","0.16","-30.6760720797467","0.205692580932949","0.140647293184691"
"1856GB0","0.24","-39.3684004771856","0.323420616172447","0.0936211724453527"
"1857EC0","0","10.6141904992757","0.214360135239015","0.0942177304605638"
"1858LB0","0.5","-1.44044977687788","0.114560982859375",NA
"1859LR0","0.78","2.9351995213768","0",NA
"1860BI0","0.28","-9.7758162062444","0.0898317951158401","0.130953053963747"
"1861LR0","-0.02","3.71996782593878","0.294448062415242","0.156755865200004"
"1862LT0","0.14","9.33098995765359","0.482144483780365",NA
"2108Can","-0.38","106.803918186804","0.577974352687773","0.165756290811759"
"2110111","0.1","27.5727165272902","0.486448950705966","0.168971364262909"
"2111150","-0.0800000000000001","33.3769012125688","0.829486190430443","0.193087837638566"
"2112396","0.24","-2.32266899766877","0.334214513405592","0.13300472526619"
"2113614","0.32","-32.6484638210364","0.306026128886011","0.197950003272928"
"2114630","0.2","-11.5734295217129","0.505470816755072","0.286992781008566"
"2115785","-0.22","60.2521215201389","0.298703332259234","0.178881215727722"
"2116Shu","-0.14","50.2788971054282","0.806688528191893","0.124623225651438"
"2429Aer","-0.6","57.5031081035747","0","0"
"2433Bou","-2","508.178400193772","0","0"
