"site","lambda","likelihood","mean","stdev"
"0029Bea","0.62","-2.30217488975265","0.959172820961443","0.0577383503097626"
"0047Mal","0.7","-6.12324628960096","0.564583303019746","0.0682794912420045"
"0051Nin","0.0800000000000001","3.90037971939195","0.449758194619813","0.139279206040223"
"0053Nin","-0.0800000000000001","6.05990465284061","0.539259007675892","0.193655203899225"
"0063Wil","0.34","2.24312612174755","0.40746290512441","0.12913383374008"
"0064Dog","-2","1098.05383238336","0.0108473813941587","0.00615384648300226"
"0211Jac","0.32","-28.2057292838227","0.212348165636303","0.0130539525392276"
"0213Oop","0.3","-114.987049058474","0.482859454060321","0.303346864139711"
"0215Rup","-0.28","-185.936036525578","0.697532244558658","0.194879927235381"
"0217Cod","0.04","-311.480284114254","0.466792117940302","0.157414825839406"
"0218Wil","-0.04","-268.585600883899","0.727398747543651","0.159039857242265"
"0219Las","-0.18","25.4373551692799","0.57175203739489","0.259839580593473"
"02207-M","-0.34","153.429022785037","0.233652476587606","0.225989630749169"
"0221Arr","0.02","36.0495010543831","0.388954018774263","0.21782275808256"
"0222Roc","-0.0800000000000001","23.6432915392037","0.350815126581029","0.325300193506956"
"0224Por","0.32","-18.8535414320721","0.430945553143471","0.292576443715734"
"0297Nic","0.1","-103.745019948091","0.0848396616789443","0.131868203445353"
"0300Sco","-0.34","312.51340932801","0.232831467138879","0.26050940424553"
"0447Bre","0.14","11.4601738795434","0.412942396147887","0.225628619499612"
"0449And","-0.26","71.5995770000151","0.665044979281985","0.23364717244583"
"0452Jas","-0.0600000000000001","47.0098216722072","0.443346371540743","0.342240930856805"
"0454Cor","-0.16","6.80665737490202","0.840120110142989","0.147374262871142"
"1344Cra","0.22","-288.363262373279","0.392174710711445","0.279428421369914"
"1383McK","-0.36","40.9367777136156","0.153438821902919","0.315089578846434"
"1424Dim","-2","1707.60154575084","0.027391373986513","0.16376474915193"
"1431Kec","-2","3539.79462191103","0.218223955252321","0.41080889011832"
"1436Lit","-0.0600000000000001","18.7661613027055","0.0837587709174294","0.0917296923008541"
"1446Per","-1.72","788.198735529997","0.406225832521047","0.454140397087538"
"1448Rav","0.02","-137.999933367922","0.303293916407636","0.363625935824101"
"1451Tun","-2","1370.06290559002","0.168016470588235","0.375696249574888"
"1453Upp","-1.66","513.792854916164","0.0767821904825268","0.276842124827193"
"1470Loo","-1.76","1382.75963992877","0.21957628944203","0.356957188047099"
"1489ANZ","-0.78","94.8929818089509","0.0776884230053409","0.241498575728664"
"1519SEB","-1.68","127.604085496245","0.121521789037201","0.29748817561243"
"1531Hud","-0.0999999999999999","101.562526267495","0.222240832522442","0.183520475440218"
"1547MIL","-0.64","51.1531927197144","0.185720870719064","0.382949845132267"
"1551Pok","-0.86","295.632686386778","0.19946049737289","0.294080986279387"
"1555Sal","0.1","-311.004384212517","0.222486824717499","0.141288727238529"
"1559Uch","-0.62","295.11767959389","0.317894875622803","0.395894063267239"
"1677NW ","-2","225.027523617545","0.999309302123216","0.000976794304850072"
"1735Lin","0.16","8.81078451283244","0.426614153773448","0.166804554553278"
"1780Far","0.24","-27.212401032731","0.517560818640932","0.136893486582127"
"1782Rai","-0.24","66.0127868907266","0.359322155432747","0.13751420832359"
"1829Key","0.28","-1.66831407499047","0.285127695038347","0.10191021683304"
"1830Upp","-0.0600000000000001","18.6824088501704","0.100692448433267","0.0907145931778322"
"1832Sul","-0.14","42.1578057883469","0",NA
"1834Ais","-0.16","37.5302410179005","0.757955012314258","0.142775089301804"
"2057Hai","-0.12","-50.1277113971229","0.254609293377592","0.108420802484517"
"2076Jan","-0.52","317.754003902612","0.444011688040488","0.159108198316681"
"2088Mar","-0.7","431.938772597842","0.1535234763197","0.126160463202137"
"2089SoT","0.32","-9.21107475231152","0",NA
"2091Mal","-0.0800000000000001","40.1998033143465","0.034695643311355","0.0600946170165541"
"2238Deu","-0.26","67.7294890902484","0.2598176907132","0.326817394074289"
"2239Dun","-0.02","-36.2136129743407","0.339657079175023","0.147601374707764"
