"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
112,24170,0,-50,0.2,1516.6,1516.6,303.32,"CONC","data","calculated from conc "
112,24171,0.02,-40,0.2,3190.5,3190.5,638.1,"CONC","data","calculated from conc "
112,24172,0.04,-30,0.2,2200,2200,440,"CONC","data","calculated from conc "
112,24173,0.06,-20,0.2,1723,1723,344.6,"CONC","data","calculated from conc "
112,24174,0.08,-10,0.2,1512.1,1512.1,302.42,"CONC","data","calculated from conc "
112,24175,0.1,0,0.2,3503.5,3503.5,700.7,"CONC","data","calculated from conc "
112,24176,0.12,10,0.2,3205.5,3205.5,641.100000000001,"CONC","data","calculated from conc "
112,24177,0.14,20,0.2,3387.9,3387.9,677.58,"CONC","data","calculated from conc "
112,24178,0.16,30,0.2,3014.4,3014.4,602.88,"CONC","data","calculated from conc "
112,24179,0.18,40,0.2,3020,3020,604.000000000001,"CONC","data","calculated from conc "
112,24180,0.2,50,0.2,3039.3,3039.3,607.86,"CONC","data","calculated from conc "
112,24181,0.22,60,0.2,2700,2700,540,"CONC","data","calculated from conc "
112,24182,0.24,70,0.2,2225,2225,445,"CONC","data","calculated from conc "
112,24183,0.26,80,0.2,2000,2000,400,"CONC","data","calculated from conc "
112,24184,0.28,90,0.2,3010.9,3010.9,602.179999999999,"CONC","data","calculated from conc "
112,24185,0.3,100,0.2,2652.3,2652.3,530.46,"CONC","data","calculated from conc "
112,24186,0.32,110,0.2,2408.5,2408.5,481.7,"CONC","data","calculated from conc "
112,24187,0.34,120,0.2,1716.8,1716.8,343.359999999999,"CONC","data","calculated from conc "
112,24188,0.36,130,0.2,985.3,985.3,197.06,"CONC","data","calculated from conc "
112,24189,0.38,140,0.2,1504.4,1504.4,300.88,"CONC","data","calculated from conc "
112,24190,0.4,150,0.2,2690,2690,537.999999999999,"CONC","data","calculated from conc "
112,24191,0.42,160,0.2,2308.2,2308.2,461.64,"CONC","data","calculated from conc "
112,24192,0.44,170,0.2,3001.8,3001.8,600.360000000001,"CONC","data","calculated from conc "
112,24193,0.46,180,0.2,3572.5,3572.5,714.499999999999,"CONC","data","calculated from conc "
112,24194,0.48,190,0.2,2920.9,2920.9,584.180000000001,"CONC","data","calculated from conc "
112,24195,0.5,200,0.2,2998.2,2998.2,599.64,"CONC","data","calculated from conc "
112,24196,0.52,210,0.2,2002.1,2002.1,400.42,"CONC","data","calculated from conc "
112,24197,0.54,220,0.2,2221.8,2221.8,444.36,"CONC","data","calculated from conc "
112,24198,0.56,230,0.199999999999999,2247.2,2247.2,449.439999999998,"CONC","data","calculated from conc "
112,24199,0.58,240,0.2,1863.1,1863.1,372.62,"CONC","data","calculated from conc "
112,24200,0.6,250,0.2,1999.6,1999.6,399.92,"CONC","data","calculated from conc "
112,24201,0.62,260,0.2,1708.8,1708.8,341.76,"CONC","data","calculated from conc "
112,24202,0.64,270,0.2,1502.6,1502.6,300.52,"CONC","data","calculated from conc "
112,24203,0.66,280,0.2,1863.1,1863.1,372.62,"CONC","data","calculated from conc "
112,24204,0.68,290,0.199999999999999,1900,1900,379.999999999998,"CONC","data","calculated from conc "
112,24205,0.7,300,0.2,2000.2,2000.2,400.04,"CONC","data","calculated from conc "
112,24206,0.72,310,0.2,1822.1,1822.1,364.42,"CONC","data","calculated from conc "
112,24207,0.74,320,0.2,1796.3,1796.3,359.26,"CONC","data","calculated from conc "
112,24208,0.76,330,0.2,1527.3,1527.3,305.46,"CONC","data","calculated from conc "
112,24209,0.78,340,0.2,993.4,993.4,198.68,"CONC","data","calculated from conc "
112,24210,0.8,350,0.199999999999999,1803.2,1803.2,360.639999999998,"CONC","data","calculated from conc "
112,24211,0.82,360,0.2,1625.4,1625.4,325.08,"CONC","data","calculated from conc "
112,24212,0.84,370,0.2,1858.8,1858.8,371.76,"CONC","data","calculated from conc "
112,24213,0.86,380,0.2,2220.3,2220.3,444.06,"CONC","data","calculated from conc "
112,24214,0.88,390,0.2,1764.6,1764.6,352.92,"CONC","data","calculated from conc "
112,24215,0.9,400,0.2,1854.4,1854.4,370.88,"CONC","data","calculated from conc "
112,24216,0.92,410,0.199999999999999,1724.5,1724.5,344.899999999998,"CONC","data","calculated from conc "
112,24217,0.94,420,0.2,2000,2000,400,"CONC","data","calculated from conc "
112,24218,0.96,430,0.2,2340.9,2340.9,468.18,"CONC","data","calculated from conc "
112,24219,0.98,440,0.2,2002.1,2002.1,400.42,"CONC","data","calculated from conc "
112,24220,1,450,0.2,2218.9,2218.9,443.78,"CONC","data","calculated from conc "
112,24221,1.02,460,0.2,1472.7,1472.7,294.54,"CONC","data","calculated from conc "
112,24222,1.04,470,0.2,3084,3084,616.800000000001,"CONC","data","calculated from conc "
112,24223,1.06,480,0.2,2823.8,2823.8,564.760000000001,"CONC","data","calculated from conc "
112,24224,1.08,490,0.2,2601.8,2601.8,520.36,"CONC","data","calculated from conc "
112,24225,1.1,500,0.2,3299.8,3299.8,659.960000000001,"CONC","data","calculated from conc "
112,24226,1.12,510,0.199999999999998,3107.6,3107.6,621.519999999994,"CONC","data","calculated from conc "
112,24227,1.14,520,0.2,2921.8,2921.8,584.360000000001,"CONC","data","calculated from conc "
112,24228,1.16,530,0.2,3205.5,3205.5,641.100000000001,"CONC","data","calculated from conc "
112,24229,1.18,540,0.2,3277.3,3277.3,655.460000000001,"CONC","data","calculated from conc "
112,24230,1.2,550,0.2,3107.6,3107.6,621.520000000001,"CONC","data","calculated from conc "
112,24231,1.22,560,0.2,2000,2000,400,"CONC","data","calculated from conc "
112,24232,1.24,570,0.2,3100,3100,620.000000000001,"CONC","data","calculated from conc "
112,24233,1.26,580,0.2,2519.3,2519.3,503.86,"CONC","data","calculated from conc "
112,24234,1.28,590,0.2,2000,2000,400,"CONC","data","calculated from conc "
112,24235,1.3,600,0.2,1837.7,1837.7,367.54,"CONC","data","calculated from conc "
112,24236,1.32,610,0.2,1833.1,1833.1,366.62,"CONC","data","calculated from conc "
