"site","lambda","likelihood","mean","stdev"
"0026Tay","0.1","-203.350959006688","0.33499598103795","0.0696678665575372"
"0082NG2","0.24","5.74949749278443","0.365910971008479",NA
"0083Yai","0.36","1.88593927534039","0.486626213905234",NA
"0111Kun","0.46","1.07869798564265","0.546907732424119","0.319237874200779"
"0112Nan","0.9","-271.620659691098","0.721917438136583","0.195080052315682"
"0113Qin","-0.64","107.278290932936","0.450437852887471","0.390762367195913"
"0117Muc","0.46","1.93661396454621","0.721673519332692","0.179865291341561"
"0120Dax","-0.0999999999999999","18.4324946606561","0.807917367302446","0.249020510853653"
"0121Lij","0.28","-388.967850792966","0.488649443189175",NA
"0122Lin","0.36","-199.410635533821","0.525463845702981",NA
"0127Lon","0.34","-10.5593349021096","0.436468184411053","0.25756959485954"
"0247Kar","-0.02","5.66843309380628","0.675711948863306","0.227792966470067"
"0305Zag","-0.44","175.876421277689","0.091098751165294","0.173258493107144"
"0403Kic","0.16","19.7139870516391","0.846889599609086","0.141490022133969"
"0404Bak","-0.22","18.7228315154354","0.414815267990149","0.247655320791956"
"0419Sak","-0.36","28.5014393216871","0.197631451273458","0.198137091083614"
"0420Kum","0.52","-4.99315063070094","0.497033212402528","0.210376508239837"
"0421Tsa","-0.02","8.51383035765702","0.535967547977329","0.123076003147725"
"0422Ime","0.04","2.72252389379078","0.449607037130338","0.155949760150311"
"0423Ali","-0.04","27.1721623843277","0.664671566065888","0.0871276961536571"
"0424Isp","-0.04","20.1535680656978","0.473828517322673","0.547701741191073"
"0537Xuj","0.16","-32.9455071662892","0.955816524972379",NA
"0567Hat","-0.14","19.0009367827418","0.0269197752272208","0.0335118434624964"
"0568Ofu","0","5.4600270792395","0.229383040415264","0.199115363716364"
"0739BL0","-0.54","-285.023486695109","0.528135458852958","0.21131283619514"
"0803Cao","-0.22","33.1129472932809","0.444453680978445","0.00920082833684886"
"1331Air","-1.28","279.740519923793","0.0742524720443716","0.237286458652904"
"1337Bay","0.0600000000000001","-46.9115185475476","0.212362543411588","0.339149236639699"
"1409Tsa","-0.34","130.752024426077","0.090225298679679","0.241889644142369"
"1468Kho","-0.24","54.5847869445549","0.097392651728876","0.24768491543504"
"1840Pat","-0.32","92.6723994920683","0.696159478403797","0.247209111750475"
"1910Cro","0.24","-81.2701486853215","0.543534083322159","0.185088198617659"
"1932Chi","0.14","2.94519127020681","0.561645862230268","0.333728368374964"
"1933Hae","0.36","3.2905247952307","0.469913196268807","0.266669195949148"
"1935Yua","0.7","-9.76406364503148","0.522376216934978","0.297731588918655"
"1947Don","0.72","-43.1763357365353","0.960470039485288",NA
"1948Don","0.46","-32.7098709114815","0.616161500293459","0.132879955019005"
"1950Jia","0.14","-18.3287240036047","0.824706956857262","0.246104921360483"
"1957Jin","0.54","-3.8013930754646","0.505982608597295","0.252522390267382"
"1961Erl","0.4","-11.5936522393711","0.379466549365451","0.259506060894933"
"1981BD ","0.2","-9.14989899525631","0.659147217446916","0.142957814837229"
"1982BN ","0.0600000000000001","-8.66923905437713","0.908406007261355","0.0626883964655149"
"1983FD ","-0.88","73.0839450993409","1",NA
"1997Tai","-0.22","27.0258478416129","0.660264173737878","0.2067307946628"
"2001Dai","0.14","-3.1715712106437","0.171386570479946","0.042078240226416"
"2004Cao","0.0600000000000001","17.6837431197707","0.510138067241465","0.397757030601154"
"2012Gus","0.26","-20.0505005261116","0.638246107875067","0.0743123906104592"
"2013Han","0.54","-14.2152276953472","0.627558056092135","0.251234140633613"
"2018Zoi","0.2","-30.6429885011729","0.410976877795771","0.216173399296819"
"2019Cha","0.52","-20.069864182218","0.440115610714255",NA
"2020Xia","0.22","-1.28581696260238","0.675242116553959","0.0870702079395932"
"2021Tia","-0.34","78.8269589009744","0.819429779926704","0.25536485418835"
"2022Hou","0.4","2.02369459802271","1",NA
"2095WQ?","-0.24","38.9490098360033","0.773353189506351","0.123175232006713"
"2212Jag","-0.42","51.2198383976326","0.163852955498764",NA
"2397OKM","-0.44","89.9228824985613","0.265219428035647",NA
