"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
1754,328688,0,0,0.0184049079754601,11.16,11.16,0.205398773006135,"CONC","data","calculated from conc "
1754,328689,0.03,163,0.0166666666666667,16.51,16.51,0.275166666666667,"CONC","data","calculated from conc "
1754,328690,0.06,360,0.018140589569161,32.56,32.56,0.590657596371882,"CONC","data","calculated from conc "
1754,328691,0.1,604,0.00626959247648903,8.6,8.6,0.0539184952978056,"CONC","data","calculated from conc "
1754,328692,0.11,679,0.0166666666666667,8.84,8.84,0.147333333333333,"CONC","data","calculated from conc "
1754,328693,0.12,724,0.0190476190476191,6.98,6.98,0.132952380952381,"CONC","data","calculated from conc "
1754,328694,0.13,784,0.0137931034482759,2.33,2.33,0.0321379310344828,"CONC","data","calculated from conc "
1754,328695,0.14,869,0.013986013986014,1.86,1.86,0.026013986013986,"CONC","data","calculated from conc "
1754,328696,0.15,927,0.0176991150442478,5.58,5.58,0.0987610619469027,"CONC","data","calculated from conc "
1754,328697,0.16,982,0.0168067226890756,10.93,10.93,0.183697478991597,"CONC","data","calculated from conc "
1754,328698,0.17,1046,0.0173913043478261,6.98,6.98,0.121391304347826,"CONC","data","calculated from conc "
1754,328699,0.18,1097,0.0273972602739726,2.09,2.09,0.0572602739726027,"CONC","data","calculated from conc "
1754,328700,0.22,1338,0.0155038759689923,13.49,13.49,0.209147286821705,"CONC","data","calculated from conc "
1754,328701,0.26,1613,0.0147329650092081,11.4,11.4,0.167955801104972,"CONC","data","calculated from conc "
1754,328702,0.3,1881,0.01,19.77,19.77,0.1977,"CONC","data","calculated from conc "
1754,328703,0.32,2013,0.0144927536231884,82.09,82.09,1.18971014492754,"CONC","data","calculated from conc "
1754,328704,0.34,2157,0.0206185567010309,21.86,21.86,0.450721649484536,"CONC","data","calculated from conc "
1754,328705,0.38,2401,0.0152963671128107,6.51,6.51,0.0995793499043977,"CONC","data","calculated from conc "
1754,328706,0.42,2680,0.0178890876565295,3.26,3.26,0.0583184257602862,"CONC","data","calculated from conc "
