"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
2244,393878,0.005,-55,0.4,2.5,2.5,2.5,"CONC","data","copied from quant "
2244,393879,0.015,-50,0.4,2,2,2,"CONC","data","copied from quant "
2244,393880,0.025,-45,0.4,2.5,2.5,2.5,"CONC","data","copied from quant "
2244,393881,0.035,-40,0.4,1,1,1,"CONC","data","copied from quant "
2244,393882,0.045,-35,0.333333333333333,2,2,2,"CONC","data","copied from quant "
2244,393883,0.055,-29,0.4,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393884,0.065,-24,0.4,0,0,0,"CONC","data","copied from quant "
2244,393885,0.075,-19,0.4,2.5,2.5,2.5,"CONC","data","copied from quant "
2244,393886,0.085,-14,0.4,3,3,3,"CONC","data","copied from quant "
2244,393887,0.095,-9,0.333333333333333,3,3,3,"CONC","data","copied from quant "
2244,393888,0.105,-3,0.4,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393889,0.115,2,0.4,8,8,8,"CONC","data","copied from quant "
2244,393890,0.125,7,0.4,16.5,16.5,16.5,"CONC","data","copied from quant "
2244,393891,0.135,12,0.399999999999999,6.5,6.5,6.5,"CONC","data","copied from quant "
2244,393892,0.145,17,0.4,5.5,5.5,5.5,"CONC","data","copied from quant "
2244,393893,0.155,22,0.333333333333334,6,6,6,"CONC","data","copied from quant "
2244,393894,0.165,28,0.399999999999999,3.5,3.5,3.5,"CONC","data","copied from quant "
2244,393895,0.175,33,0.4,2,2,2,"CONC","data","copied from quant "
2244,393896,0.185,38,0.4,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393897,0.195,43,0.399999999999999,6,6,6,"CONC","data","copied from quant "
2244,393898,0.205,48,0.333333333333334,6,6,6,"CONC","data","copied from quant "
2244,393899,0.215,54,0.4,8.5,8.5,8.5,"CONC","data","copied from quant "
2244,393900,0.225,59,0.399999999999999,9,9,9,"CONC","data","copied from quant "
2244,393901,0.235,64,0.4,8.5,8.5,8.5,"CONC","data","copied from quant "
2244,393902,0.245,69,0.4,27.5,27.5,27.5,"CONC","data","copied from quant "
2244,393903,0.255,74,0.333333333333334,23.5,23.5,23.5,"CONC","data","copied from quant "
2244,393904,0.265,80,0.4,22,22,22,"CONC","data","copied from quant "
2244,393905,0.275,85,0.399999999999998,14.5,14.5,14.5,"CONC","data","copied from quant "
2244,393906,0.285,90,0.4,10.5,10.5,10.5,"CONC","data","copied from quant "
2244,393907,0.295,95,0.4,12.5,12.5,12.5,"CONC","data","copied from quant "
2244,393908,0.305,100,0.333333333333334,24.5,24.5,24.5,"CONC","data","copied from quant "
2244,393909,0.315,106,0.4,30,30,30,"CONC","data","copied from quant "
2244,393910,0.325,111,0.4,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393911,0.335,116,0.399999999999998,1,1,1,"CONC","data","copied from quant "
2244,393912,0.345,121,0.4,0,0,0,"CONC","data","copied from quant "
2244,393913,0.355,126,0.4,2.5,2.5,2.5,"CONC","data","copied from quant "
2244,393914,0.365,131,0.333333333333334,0,0,0,"CONC","data","copied from quant "
2244,393915,0.375,137,0.4,1,1,1,"CONC","data","copied from quant "
2244,393916,0.385,142,0.4,0,0,0,"CONC","data","copied from quant "
2244,393917,0.395,147,0.4,0,0,0,"CONC","data","copied from quant "
2244,393918,0.405,152,0.399999999999998,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393919,0.415,157,0.333333333333334,2.5,2.5,2.5,"CONC","data","copied from quant "
2244,393920,0.425,163,0.4,4.5,4.5,4.5,"CONC","data","copied from quant "
2244,393921,0.435,168,0.4,12,12,12,"CONC","data","copied from quant "
2244,393922,0.445,173,0.4,4,4,4,"CONC","data","copied from quant "
2244,393923,0.455,178,0.4,5,5,5,"CONC","data","copied from quant "
2244,393924,0.465,183,0.333333333333332,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393925,0.475,189,0.4,0,0,0,"CONC","data","copied from quant "
2244,393926,0.485,194,0.4,1,1,1,"CONC","data","copied from quant "
2244,393927,0.495,199,0.4,2,2,2,"CONC","data","copied from quant "
2244,393928,0.505,204,0.4,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393929,0.515,209,0.333333333333334,2,2,2,"CONC","data","copied from quant "
2244,393930,0.525,215,0.4,4,4,4,"CONC","data","copied from quant "
2244,393931,0.535,220,0.4,3,3,3,"CONC","data","copied from quant "
2244,393932,0.545,225,0.4,0,0,0,"CONC","data","copied from quant "
2244,393933,0.555,230,0.399999999999996,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393934,0.565,235,0.4,1,1,1,"CONC","data","copied from quant "
2244,393935,0.575,240,0.333333333333334,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393936,0.585,246,0.4,3,3,3,"CONC","data","copied from quant "
2244,393937,0.595,251,0.4,0,0,0,"CONC","data","copied from quant "
2244,393938,0.605,256,0.4,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393939,0.615,261,0.4,2,2,2,"CONC","data","copied from quant "
2244,393940,0.625,266,0.333333333333334,1,1,1,"CONC","data","copied from quant "
2244,393941,0.635,272,0.4,2,2,2,"CONC","data","copied from quant "
2244,393942,0.645,277,0.4,0,0,0,"CONC","data","copied from quant "
2244,393943,0.655,282,0.4,1,1,1,"CONC","data","copied from quant "
2244,393944,0.665,287,0.4,0.5,0.5,0.5,"CONC","data","copied from quant "
2244,393945,0.675,292,0.333333333333334,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393946,0.685,298,0.399999999999996,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393947,0.695,303,0.4,1,1,1,"CONC","data","copied from quant "
2244,393948,0.705,308,0.4,3,3,3,"CONC","data","copied from quant "
2244,393949,0.715,313,0.4,0,0,0,"CONC","data","copied from quant "
2244,393950,0.725,318,0.333333333333334,1,1,1,"CONC","data","copied from quant "
2244,393951,0.735,324,0.4,1,1,1,"CONC","data","copied from quant "
2244,393952,0.745,329,0.4,2,2,2,"CONC","data","copied from quant "
2244,393953,0.755,334,0.4,1.5,1.5,1.5,"CONC","data","copied from quant "
2244,393954,0.765,339,0.4,7.5,7.5,7.5,"CONC","data","copied from quant "
2244,393955,0.775,344,0.4,2,2,2,"CONC","data","copied from quant "
