"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
2251,395443,0.005,-34,0.0392156862745098,38.5,38.5,38.5,"CONC","data","copied from quant "
2251,395444,0.015,17,0.0392156862745098,32,32,32,"CONC","data","copied from quant "
2251,395445,0.025,68,0.0392156862745098,38,38,38,"CONC","data","copied from quant "
2251,395446,0.035,119,0.0392156862745098,54.5,54.5,54.5,"CONC","data","copied from quant "
2251,395447,0.045,170,0.0392156862745098,11.5,11.5,11.5,"CONC","data","copied from quant "
2251,395448,0.055,221,0.0392156862745098,2,2,2,"CONC","data","copied from quant "
2251,395449,0.065,272,0.0392156862745098,3,3,3,"CONC","data","copied from quant "
2251,395450,0.075,323,0.04,13,13,13,"CONC","data","copied from quant "
2251,395451,0.085,373,0.0392156862745098,727.5,727.5,727.5,"CONC","data","copied from quant "
2251,395452,0.095,424,0.04,22.5,22.5,22.5,"CONC","data","copied from quant "
2251,395453,0.105,474,0.04,4.5,4.5,4.5,"CONC","data","copied from quant "
2251,395454,0.115,524,0.0408163265306122,24,24,24,"CONC","data","copied from quant "
2251,395455,0.125,573,0.04,18.5,18.5,18.5,"CONC","data","copied from quant "
2251,395456,0.135,623,0.0408163265306122,7,7,7,"CONC","data","copied from quant "
2251,395457,0.145,672,0.0408163265306123,56.5,56.5,56.5,"CONC","data","copied from quant "
2251,395458,0.155,721,0.0416666666666667,4.5,4.5,4.5,"CONC","data","copied from quant "
2251,395459,0.165,769,0.0416666666666666,27.5,27.5,27.5,"CONC","data","copied from quant "
2251,395460,0.175,817,0.0416666666666667,20.5,20.5,20.5,"CONC","data","copied from quant "
2251,395461,0.185,865,0.0425531914893617,32.5,32.5,32.5,"CONC","data","copied from quant "
2251,395462,0.195,912,0.0425531914893616,20,20,20,"CONC","data","copied from quant "
2251,395463,0.205,959,0.0434782608695653,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395464,0.215,1005,0.0434782608695653,1,1,1,"CONC","data","copied from quant "
2251,395465,0.225,1051,0.0444444444444444,4.5,4.5,4.5,"CONC","data","copied from quant "
2251,395466,0.235,1096,0.0434782608695653,26,26,26,"CONC","data","copied from quant "
2251,395467,0.245,1142,0.0454545454545455,37.5,37.5,37.5,"CONC","data","copied from quant "
2251,395468,0.255,1186,0.0454545454545455,11,11,11,"CONC","data","copied from quant "
2251,395469,0.265,1230,0.0454545454545455,7,7,7,"CONC","data","copied from quant "
2251,395470,0.275,1274,0.0454545454545452,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395471,0.285,1318,0.0465116279069768,4,4,4,"CONC","data","copied from quant "
2251,395472,0.295,1361,0.0476190476190477,2,2,2,"CONC","data","copied from quant "
2251,395473,0.305,1403,0.0465116279069768,2.5,2.5,2.5,"CONC","data","copied from quant "
2251,395474,0.315,1446,0.0487804878048781,1.5,1.5,1.5,"CONC","data","copied from quant "
2251,395475,0.325,1487,0.0476190476190477,0,0,0,"CONC","data","copied from quant "
2251,395476,0.335,1529,0.0487804878048778,2,2,2,"CONC","data","copied from quant "
2251,395477,0.345,1570,0.0487804878048781,2,2,2,"CONC","data","copied from quant "
2251,395478,0.355,1611,0.05,0,0,0,"CONC","data","copied from quant "
2251,395479,0.365,1651,0.05,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395480,0.375,1691,0.05,0,0,0,"CONC","data","copied from quant "
2251,395481,0.385,1731,0.0512820512820513,0,0,0,"CONC","data","copied from quant "
2251,395482,0.395,1770,0.0512820512820513,3.5,3.5,3.5,"CONC","data","copied from quant "
2251,395483,0.405,1809,0.051282051282051,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395484,0.415,1848,0.0512820512820513,1.5,1.5,1.5,"CONC","data","copied from quant "
2251,395485,0.425,1887,0.0526315789473685,0,0,0,"CONC","data","copied from quant "
2251,395486,0.435,1925,0.0540540540540541,0,0,0,"CONC","data","copied from quant "
2251,395487,0.445,1962,0.0526315789473685,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395488,0.455,2000,0.0540540540540541,2,2,2,"CONC","data","copied from quant "
2251,395489,0.465,2037,0.0540540540540538,0.5,0.5,0.5,"CONC","data","copied from quant "
2251,395490,0.475,2074,0.0540540540540541,1.5,1.5,1.5,"CONC","data","copied from quant "
2251,395491,0.485,2111,0.0555555555555556,6.5,6.5,6.5,"CONC","data","copied from quant "
2251,395492,0.495,2147,0.0555555555555556,2.5,2.5,2.5,"CONC","data","copied from quant "
2251,395493,0.505,2183,0.0555555555555556,8,8,8,"CONC","data","copied from quant "
2251,395494,0.515,2219,0.0571428571428572,8.5,8.5,8.5,"CONC","data","copied from quant "
2251,395495,0.525,2254,0.0571428571428572,13.5,13.5,13.5,"CONC","data","copied from quant "
2251,395496,0.535,2289,0.0571428571428572,1.5,1.5,1.5,"CONC","data","copied from quant "
2251,395497,0.545,2324,0.0571428571428572,0,0,0,"CONC","data","copied from quant "
2251,395498,0.555,2359,0.0588235294117641,1,1,1,"CONC","data","copied from quant "
2251,395499,0.565,2393,0.0571428571428572,8,8,8,"CONC","data","copied from quant "
2251,395500,0.575,2428,0.0588235294117648,4,4,4,"CONC","data","copied from quant "
2251,395501,0.585,2462,0.0588235294117648,6,6,6,"CONC","data","copied from quant "
2251,395502,0.595,2496,0.0606060606060607,11,11,11,"CONC","data","copied from quant "
2251,395503,0.605,2529,0.0606060606060607,15,15,15,"CONC","data","copied from quant "
2251,395504,0.615,2562,0.0588235294117648,3.5,3.5,3.5,"CONC","data","copied from quant "
2251,395505,0.625,2596,0.0606060606060607,1,1,1,"CONC","data","copied from quant "
2251,395506,0.635,2629,0.0625000000000001,25,25,25,"CONC","data","copied from quant "
2251,395507,0.645,2661,0.0606060606060607,3,3,3,"CONC","data","copied from quant "
2251,395508,0.655,2694,0.0625000000000001,28.5,28.5,28.5,"CONC","data","copied from quant "
2251,395509,0.665,2726,0.0625000000000001,33,33,33,"CONC","data","copied from quant "
2251,395510,0.675,2758,0.0625000000000001,5.5,5.5,5.5,"CONC","data","copied from quant "
