"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
964,159533,0.5,-61,100,0.0792,0.000792,0.0792,"INFL","calculated from influx ","data"
964,159534,1.5,-60,200,0.012,6e-05,0.012,"INFL","calculated from influx ","data"
964,159535,2.5,-60,200,0.0146,7.3e-05,0.0146,"INFL","calculated from influx ","data"
964,159536,3.5,-59,100,0.015,0.00015,0.015,"INFL","calculated from influx ","data"
964,159537,4.5,-58,100,0.0242,0.000242,0.0242,"INFL","calculated from influx ","data"
964,159538,5.5,-57,100,0.1559,0.001559,0.1559,"INFL","calculated from influx ","data"
964,159539,6.5,-56,200,0.00665,3.325e-05,0.00665,"INFL","calculated from influx ","data"
964,159540,7.5,-56,200,0.0287,0.0001435,0.0287,"INFL","calculated from influx ","data"
964,159541,8.5,-55,600,0.3205,0.000534166666666667,0.3205,"INFL","calculated from influx ","data"
964,159544,11.5,-55,200,0.0383,0.0001915,0.0383,"INFL","calculated from influx ","data"
964,159545,12.5,-54,100,0.0729,0.000729,0.0729,"INFL","calculated from influx ","data"
964,159546,13.5,-53,100,0.0508,0.000508,0.0508,"INFL","calculated from influx ","data"
964,159547,14.5,-52,100,0.0491,0.000491,0.0491,"INFL","calculated from influx ","data"
964,159548,15.5,-51,200,0.42835,0.00214175,0.42835,"INFL","calculated from influx ","data"
964,159549,16.5,-51,200,0.10885,0.00054425,0.10885,"INFL","calculated from influx ","data"
964,159550,17.5,-50,400,0.3426,0.0008565,0.3426,"INFL","calculated from influx ","data"
964,159552,19.5,-50,200,0.2441,0.0012205,0.2441,"INFL","calculated from influx ","data"
964,159553,20.5,-49,200,0.1736,0.000868,0.1736,"INFL","calculated from influx ","data"
964,159554,21.5,-49,200,0.13235,0.00066175,0.13235,"INFL","calculated from influx ","data"
964,159555,22.5,-48,66.6666666666667,0.3414,0.005121,0.3414,"INFL","calculated from influx ","data"
964,159556,23.5,-46,40,1.1185,0.0279625,1.1185,"INFL","calculated from influx ","data"
964,159557,24.5,-43,33.3333333333333,0.6903,0.020709,0.6903,"INFL","calculated from influx ","data"
964,159558,25.5,-40,33.3333333333333,3.4311,0.102933,3.4311,"INFL","calculated from influx ","data"
964,159559,26.5,-37,28.5714285714286,1.0262,0.035917,1.0262,"INFL","calculated from influx ","data"
964,159560,27.5,-33,25,2.2216,0.088864,2.2216,"INFL","calculated from influx ","data"
964,159561,28.5,-29,22.2222222222222,0.8235,0.0370575,0.8235,"INFL","calculated from influx ","data"
964,159562,29.5,-24,20,2.5335,0.126675,2.5335,"INFL","calculated from influx ","data"
964,159563,30.5,-19,20,2.129,0.10645,2.129,"INFL","calculated from influx ","data"
964,159564,31.5,-14,20,4.028,0.2014,4.028,"INFL","calculated from influx ","data"
964,159565,32.5,-9,20,0.496,0.0248,0.496,"INFL","calculated from influx ","data"
964,159566,33.5,-4,20,1.0615,0.053075,1.0615,"INFL","calculated from influx ","data"
964,159567,34.5,1,20,0.839,0.04195,0.839,"INFL","calculated from influx ","data"
964,159568,35.5,6,20,1.096,0.0548,1.096,"INFL","calculated from influx ","data"
964,159569,36.5,11,20,0.9665,0.048325,0.9665,"INFL","calculated from influx ","data"
964,159570,37.5,16,20,1.3795,0.068975,1.3795,"INFL","calculated from influx ","data"
964,159571,38.5,21,18.1818181818182,0.4774,0.026257,0.4774,"INFL","calculated from influx ","data"
964,159572,39.5,27,18.1818181818182,2.02675,0.11147125,2.02675,"INFL","calculated from influx ","data"
964,159573,40.5,32,20,1.0515,0.052575,1.0515,"INFL","calculated from influx ","data"
964,159574,41.5,37,20,0.5785,0.028925,0.5785,"INFL","calculated from influx ","data"
