"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
307,57064,0.043311,-17,0.148484014869888,16.25,16.25,2.41286524163569,"CONC","data","calculated from conc "
307,57065,0.442733,252,0.136943887775551,11.45,11.45,1.56800751503006,"CONC","data","calculated from conc "
307,57066,0.784408,482,0.195899705014749,13.95,13.95,2.73280088495575,"CONC","data","calculated from conc "
307,57067,1.448508,930,0.136832289156627,19.37,19.37,2.65044144096386,"CONC","data","calculated from conc "
307,57068,2.016362,1312,0.142538858695652,37.08,37.08,5.28534088043478,"CONC","data","calculated from conc "
307,57069,2.540905,1666,0.21549235737352,25.62,25.62,5.52091419590958,"CONC","data","calculated from conc "
307,57070,3.541867,2241,0.12271425,14.37,14.37,1.7634037725,"CONC","data","calculated from conc "
307,57071,4.032724,2466,0.217674501108647,2.91,2.91,0.633432798226164,"CONC","data","calculated from conc "
307,57072,4.52358,2692,0.224643683083512,3.95,3.95,0.887342548179872,"CONC","data","calculated from conc "
307,57073,5.048123,2933,0.21251847133758,5.41,5.41,1.14972492993631,"CONC","data","calculated from conc "
307,57074,5.548604,3163,0.215761318681319,2.91,2.91,0.627865437362638,"CONC","data","calculated from conc "
307,57075,6.039461,3388,0.104118733509235,3.9583333,3.9583333,0.41213665000343,"CONC","data","calculated from conc "
307,57076,6.434071,3921,0.104118733509235,10,10,1.04118733509235,"CONC","data","calculated from conc "
