"site","lambda","likelihood","mean","stdev"
"0125Hug","0.38","3.16033884401015","0.520105044775271","0.295638129754497"
"0307Lau","0.24","3.02914368536831","0.703515593308682",NA
"0585Xis","0.32","-14.9004616386872","0.586410107067077","0.358735902816715"
"0594Ajk","0.52","-7.50281972460632","0.411565680473158","0.06827071726896"
"0595Ajk","0.24","-16.1818987854085","0.645367955373287",NA
"0596Ajk","0.98","-0.698352961653249","0.522698981125398","0.241650889447362"
"0597Ajk","0.68","-0.863330646749557","0.319915874225638","0.452429368148342"
"0598Ajk","0.56","-18.6420686493569","0.734246267583468","0.0509746186299543"
"0601Aru","-0.14","22.5366772967237","0.713321146881313",NA
"0603Hog","-0.5","53.2564166858434","0","0"
"0604Lak","-0.8","95.4798588707342","0.914278747304143",NA
"0657Kel","0.32","-12.5583877033198","0.901469637239148","0.139342975321937"
"0660Lar","0.02","12.4214414724138","0.745795585189759",NA
"0661Agu","-0.54","49.0235001915714","0.101098717572447","0.267482064564249"
"0662Son","-0.18","73.4605926114267","0.357501282888233","0.311953099257374"
"0666Wan","-0.18","-58.8978947663672","0.829931550976416","0.108571283639151"
"0671Yaw","-2","366.082004151929","0.48330882701821","0.505609167314843"
"0750Lom","-0.0999999999999999","-21.2226436824701","0.803398329014548",NA
"0772Nga","-0.44","22.2662056891061","1",NA
"0774Nge","0.38","-10.1763531546488","0.549148285979785","0.0683173273374716"
"0775Olb","0.32","4.07904084675824","0.0976845989176462","0.0474760131601476"
"0794Nge","0.6","1.73426556925601","0.791689941079312",NA
"0795Mel","0.54","-0.222916357662535","0.388131054030034",NA
"0798Neo","-0.56","36.3248495039907","0.89815018901844","0.109875248516623"
"1952SMP","-0.32","42.0344239412081","0.876906914505388","0.0716119195514492"
"2006Che","-0.0800000000000001","-3.57652867622762","0.324826210855366","0.194232133607073"
"2008Qin","-0.0999999999999999","-145.373840858778","0.687145592432238","0.243911506194619"
"2205Ang","-0.14","9.29485405257686","1",NA
"2210Hor","-0.02","-5.33737385762449","0.750086709164226","0.04379358229175"
"2214Kos","0.48","-7.68741309827568","0.141025774509386","0.123996657633652"
"2225Non","-0.34","106.161022907385","0.140214668663099","0.0605574986998017"
"2226Pem","-0.18","17.839499551813","0.911008150187209","0.106359909231049"
"2231Sup","-0.34","45.4020976117998","0.52064018746877","0.0606594721346929"
"2234Wan","0.04","11.0542423728264","0.431312850054953",NA
"2283GHA","-2","166.040459807506","0.17876695810909","0.388198861474631"
"2284GHA","-0.26","49.1063798013784","0.460082571120564","0.353338457069929"
"2285GHA","-0.64","148.448717387522","0.230453244806535","0.360357614073198"
"2286GHA","-0.74","119.515672765966","0.317470879331623","0.330490195940625"
