"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
1,2,0.01,46,0.0212765957446809,43,43,0.914893617021277,"CONC","data","calculated from conc "
1,4,0.02,93,0.021505376344086,57.4,57.4,1.23440860215054,"CONC","data","calculated from conc "
1,6,0.03,139,0.021978021978022,54.8,54.8,1.2043956043956,"CONC","data","calculated from conc "
1,8,0.04,184,0.021978021978022,48.8,48.8,1.07252747252747,"CONC","data","calculated from conc "
1,10,0.05,230,0.021978021978022,38.8,38.8,0.852747252747252,"CONC","data","calculated from conc "
1,12,0.06,275,0.021978021978022,36.6,36.6,0.804395604395605,"CONC","data","calculated from conc "
1,14,0.07,321,0.021978021978022,47,47,1.03296703296703,"CONC","data","calculated from conc "
1,16,0.08,366,0.0222222222222222,33.2,33.2,0.737777777777778,"CONC","data","calculated from conc "
1,18,0.09,411,0.0222222222222222,20.8,20.8,0.462222222222223,"CONC","data","calculated from conc "
1,20,0.1,456,0.0224719101123595,14,14,0.314606741573034,"CONC","data","calculated from conc "
1,22,0.11,500,0.0224719101123595,12.2,12.2,0.274157303370786,"CONC","data","calculated from conc "
1,24,0.12,545,0.0224719101123596,9.8,9.8,0.220224719101124,"CONC","data","calculated from conc "
1,26,0.13,589,0.0227272727272727,7,7,0.159090909090909,"CONC","data","calculated from conc "
1,28,0.14,633,0.0227272727272727,12.4,12.4,0.281818181818181,"CONC","data","calculated from conc "
1,30,0.15,677,0.0229885057471265,19,19,0.436781609195403,"CONC","data","calculated from conc "
1,32,0.16,720,0.0229885057471265,16.2,16.2,0.372413793103449,"CONC","data","calculated from conc "
1,34,0.17,764,0.0229885057471264,23.2,23.2,0.533333333333332,"CONC","data","calculated from conc "
1,36,0.18,807,0.0232558139534884,27.4,27.4,0.637209302325582,"CONC","data","calculated from conc "
1,38,0.19,850,0.0232558139534884,67,67,1.55813953488372,"CONC","data","calculated from conc "
1,40,0.2,893,0.0232558139534883,43.6,43.6,1.01395348837209,"CONC","data","calculated from conc "
1,42,0.21,936,0.0232558139534884,54.4,54.4,1.26511627906977,"CONC","data","calculated from conc "
1,44,0.22,979,0.0235294117647059,57.2,57.2,1.34588235294118,"CONC","data","calculated from conc "
1,46,0.23,1021,0.0235294117647058,31.6,31.6,0.743529411764704,"CONC","data","calculated from conc "
1,48,0.24,1064,0.0235294117647059,22,22,0.51764705882353,"CONC","data","calculated from conc "
1,50,0.25,1106,0.0238095238095238,12.8,12.8,0.304761904761905,"CONC","data","calculated from conc "
1,52,0.26,1148,0.0238095238095238,13.2,13.2,0.314285714285715,"CONC","data","calculated from conc "
1,54,0.27,1190,0.0240963855421687,14.2,14.2,0.342168674698795,"CONC","data","calculated from conc "
1,56,0.28,1231,0.0240963855421686,22.2,22.2,0.534939759036142,"CONC","data","calculated from conc "
1,58,0.29,1273,0.0240963855421687,22.8,22.8,0.549397590361446,"CONC","data","calculated from conc "
1,60,0.3,1314,0.024390243902439,14.4,14.4,0.351219512195122,"CONC","data","calculated from conc "
1,62,0.31,1355,0.024390243902439,16.2,16.2,0.395121951219513,"CONC","data","calculated from conc "
1,64,0.32,1396,0.024390243902439,14,14,0.341463414634147,"CONC","data","calculated from conc "
1,66,0.33,1437,0.024390243902439,17.4,17.4,0.424390243902439,"CONC","data","calculated from conc "
1,68,0.34,1478,0.0246913580246912,15.8,15.8,0.390123456790122,"CONC","data","calculated from conc "
1,70,0.35,1518,0.0246913580246914,15.6,15.6,0.385185185185186,"CONC","data","calculated from conc "
1,72,0.36,1559,0.0246913580246914,16.6,16.6,0.409876543209877,"CONC","data","calculated from conc "
1,74,0.37,1599,0.025,15.4,15.4,0.385,"CONC","data","calculated from conc "
1,76,0.38,1639,0.025,13.2,13.2,0.33,"CONC","data","calculated from conc "
1,78,0.39,1679,0.0253164556962026,24.2,24.2,0.612658227848102,"CONC","data","calculated from conc "
1,80,0.4,1718,0.0253164556962024,20,20,0.506329113924048,"CONC","data","calculated from conc "
1,82,0.41,1758,0.0253164556962026,13,13,0.329113924050633,"CONC","data","calculated from conc "
1,84,0.42,1797,0.0256410256410257,12.2,12.2,0.312820512820513,"CONC","data","calculated from conc "
1,86,0.43,1836,0.0256410256410257,9,9,0.230769230769231,"CONC","data","calculated from conc "
1,88,0.44,1875,0.0256410256410257,18.4,18.4,0.471794871794872,"CONC","data","calculated from conc "
