"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
1423,260546,0.005,-45,0.2,9,9,1.8,"CONC","data","calculated from conc "
1423,260547,0.015,-40,0.285714285714286,5,5,1.42857142857143,"CONC","data","calculated from conc "
1423,260548,0.025,-38,0.4,2,2,0.8,"CONC","data","calculated from conc "
1423,260549,0.035,-35,0.333333333333333,7,7,2.33333333333333,"CONC","data","calculated from conc "
1423,260550,0.045,-32,0.4,7,7,2.8,"CONC","data","calculated from conc "
1423,260551,0.055,-30,0.666666666666667,4,4,2.66666666666667,"CONC","data","calculated from conc "
1423,260552,0.065,-29,1,8,8,8,"CONC","data","calculated from conc "
1423,260553,0.075,-28,2,6,6,12,"CONC","data","calculated from conc "
1423,260554,0.085,-28,2,6,6,12,"CONC","data","calculated from conc "
1423,260555,0.095,-27,1,5,5,5,"CONC","data","calculated from conc "
1423,260556,0.105,-26,2,2,2,4,"CONC","data","calculated from conc "
1423,260557,0.115,-26,2,4,4,8,"CONC","data","calculated from conc "
1423,260558,0.125,-25,0.666666666666667,4,4,2.66666666666667,"CONC","data","calculated from conc "
1423,260559,0.135,-23,0.666666666666665,11,11,7.33333333333332,"CONC","data","calculated from conc "
1423,260560,0.145,-22,4,4,4,16,"CONC","data","calculated from conc "
1423,260562,0.165,-22,2,2,2,3.99999999999999,"CONC","data","calculated from conc "
1423,260563,0.175,-21,1,3,3,3,"CONC","data","calculated from conc "
1423,260564,0.185,-20,0.666666666666667,6,6,4,"CONC","data","calculated from conc "
1423,260565,0.195,-18,0.499999999999999,1,1,0.499999999999999,"CONC","data","calculated from conc "
1423,260566,0.205,-16,0.666666666666667,5,5,3.33333333333334,"CONC","data","calculated from conc "
1423,260567,0.215,-15,0.666666666666667,6,6,4,"CONC","data","calculated from conc "
1423,260568,0.225,-13,0.666666666666665,5,5,3.33333333333333,"CONC","data","calculated from conc "
1423,260569,0.235,-12,0.666666666666667,4,4,2.66666666666667,"CONC","data","calculated from conc "
1423,260570,0.245,-10,0.4,2,2,0.800000000000001,"CONC","data","calculated from conc "
1423,260571,0.255,-7,0.5,0,0,0,"CONC","data","calculated from conc "
1423,260572,0.265,-6,0.666666666666667,7,7,4.66666666666667,"CONC","data","calculated from conc "
1423,260573,0.275,-4,0.666666666666664,3,3,1.99999999999999,"CONC","data","calculated from conc "
1423,260574,0.285,-3,1,2,2,2,"CONC","data","calculated from conc "
1423,260575,0.295,-2,1,3,3,3,"CONC","data","calculated from conc "
1423,260576,0.305,-1,1,3,3,3,"CONC","data","calculated from conc "
1423,260577,0.315,0,1,7,7,7.00000000000001,"CONC","data","calculated from conc "
1423,260578,0.325,1,1,8,8,8.00000000000001,"CONC","data","calculated from conc "
1423,260579,0.335,2,0.666666666666664,6,6,3.99999999999998,"CONC","data","calculated from conc "
1423,260580,0.345,4,0.666666666666667,2,2,1.33333333333333,"CONC","data","calculated from conc "
1423,260581,0.355,5,1,4,4,4,"CONC","data","calculated from conc "
1423,260582,0.365,6,0.666666666666667,3,3,2,"CONC","data","calculated from conc "
1423,260583,0.375,8,0.666666666666667,5,5,3.33333333333334,"CONC","data","calculated from conc "
1423,260584,0.385,9,1,4,4,4,"CONC","data","calculated from conc "
1423,260585,0.395,10,2,7,7,14,"CONC","data","calculated from conc "
1423,260586,0.405,10,1.99999999999999,3,3,5.99999999999997,"CONC","data","calculated from conc "
1423,260587,0.415,11,1,4,4,4,"CONC","data","calculated from conc "
