"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
1427,261802,0.07,-46,0.166666666666666,48,48,7.99999999999998,"CONC","data","calculated from conc "
1427,261803,0.075,-43,0.166666666666667,43.4,43.4,7.23333333333334,"CONC","data","calculated from conc "
1427,261804,0.08,-40,0.166666666666667,45.28,45.28,7.54666666666667,"CONC","data","calculated from conc "
1427,261805,0.085,-37,0.166666666666666,28.18,28.18,4.69666666666666,"CONC","data","calculated from conc "
1427,261806,0.09,-34,0.133333333333333,50.19,50.19,6.69200000000001,"CONC","data","calculated from conc "
1427,261807,0.094,-31,0.166666666666667,47.18,47.18,7.86333333333334,"CONC","data","calculated from conc "
1427,261808,0.099,-28,0.2,32.05,32.05,6.40999999999999,"CONC","data","calculated from conc "
1427,261809,0.104,-26,0.24,15.94,15.94,3.8256,"CONC","data","calculated from conc "
1427,261810,0.11,-23,0.2,35.47,35.47,7.09400000000001,"CONC","data","calculated from conc "
1427,261811,0.115,-21,0.125,49.64,49.64,6.20499999999999,"CONC","data","calculated from conc "
1427,261812,0.12,-15,0.111111111111111,69.73,69.73,7.74777777777779,"CONC","data","calculated from conc "
1427,261813,0.125,-12,0.111111111111111,43.33,43.33,4.81444444444445,"CONC","data","calculated from conc "
1427,261814,0.13,-6,0.0714285714285715,41.29,41.29,2.94928571428572,"CONC","data","calculated from conc "
1427,261815,0.135,2,0.1,67.55,67.55,6.75500000000001,"CONC","data","calculated from conc "
1427,261816,0.14,4,0.142857142857142,101.31,101.31,14.4728571428571,"CONC","data","calculated from conc "
1427,261817,0.145,9,0.142857142857143,47.68,47.68,6.81142857142858,"CONC","data","calculated from conc "
1427,261818,0.15,11,0.25,32.14,32.14,8.03500000000001,"CONC","data","calculated from conc "
1427,261819,0.155,13,0.166666666666667,89.08,89.08,14.8466666666667,"CONC","data","calculated from conc "
1427,261820,0.16,17,0.166666666666667,53.84,53.84,8.97333333333334,"CONC","data","calculated from conc "
1427,261821,0.165,19,0.2,24.37,24.37,4.874,"CONC","data","calculated from conc "
1427,261822,0.17,22,0.142857142857142,387.74,387.74,55.3914285714283,"CONC","data","calculated from conc "
1427,261823,0.175,26,0.111111111111111,184.52,184.52,20.5022222222222,"CONC","data","calculated from conc "
1427,261824,0.18,31,0.0666666666666667,130,130,8.66666666666667,"CONC","data","calculated from conc "
1427,261825,0.185,41,0.0588235294117648,260.25,260.25,15.3088235294118,"CONC","data","calculated from conc "
