"ID_ENTITY","ID_SAMPLE","depth","est_age","sed_rate","quant","conc","influx","xst_level","conc_source","influx_source"
2458,419449,0,0,0.117647058823529,26000,26000,3058.82352941176,"COUN","data","calculated from conc "
2458,419450,0.02,17,0.117647058823529,41000,41000,4823.52941176471,"COUN","data","calculated from conc "
2458,419451,0.04,34,0.121212121212121,20000,20000,2424.24242424242,"COUN","data","calculated from conc "
2458,419452,0.06,50,0.121212121212121,26000,26000,3151.51515151515,"COUN","data","calculated from conc "
2458,419453,0.08,67,0.117647058823529,32000,32000,3764.70588235294,"COUN","data","calculated from conc "
2458,419454,0.1,84,0.117647058823529,217000,217000,25529.4117647059,"COUN","data","calculated from conc "
2458,419455,0.12,101,0.121212121212121,310000,310000,37575.7575757576,"COUN","data","calculated from conc "
2458,419456,0.14,117,0.121212121212121,383000,383000,46424.2424242424,"COUN","data","calculated from conc "
2458,419457,0.16,134,0.117647058823529,189000,189000,22235.294117647,"COUN","data","calculated from conc "
2458,419458,0.18,151,0.11764705882353,24000,24000,2823.52941176471,"COUN","data","calculated from conc "
2458,419459,0.2,168,0.121212121212121,399000,399000,48363.6363636363,"COUN","data","calculated from conc "
2458,419460,0.22,184,0.121212121212121,71000,71000,8606.0606060606,"COUN","data","calculated from conc "
2458,419461,0.24,201,0.11764705882353,39000,39000,4588.23529411765,"COUN","data","calculated from conc "
2458,419462,0.26,218,0.11764705882353,39000,39000,4588.23529411765,"COUN","data","calculated from conc "
2458,419463,0.28,235,0.121212121212121,9000,9000,1090.90909090909,"COUN","data","calculated from conc "
2458,419464,0.3,251,0.121212121212121,417000,417000,50545.4545454546,"COUN","data","calculated from conc "
2458,419465,0.32,268,0.11764705882353,13000,13000,1529.41176470588,"COUN","data","calculated from conc "
2458,419466,0.34,285,0.117647058823529,21000,21000,2470.58823529411,"COUN","data","calculated from conc "
2458,419467,0.36,302,0.0800000000000001,106000,106000,8480.00000000001,"COUN","data","calculated from conc "
2458,419468,0.37,310,0.181818181818182,181000,181000,32909.0909090909,"COUN","data","calculated from conc "
2458,419469,0.4,335,0.0952380952380951,278000,278000,26476.1904761904,"COUN","data","calculated from conc "
2458,419470,0.42,352,0.11764705882353,160000,160000,18823.5294117647,"COUN","data","calculated from conc "
2458,419471,0.44,369,0.121212121212121,319000,319000,38666.6666666667,"COUN","data","calculated from conc "
2458,419472,0.46,385,0.121212121212121,165000,165000,20000,"COUN","data","calculated from conc "
2458,419473,0.48,402,0.11764705882353,33000,33000,3882.35294117647,"COUN","data","calculated from conc "
2458,419474,0.5,419,0.11764705882353,89000,89000,10470.5882352941,"COUN","data","calculated from conc "
2458,419475,0.52,436,0.121212121212121,2000,2000,242.424242424243,"COUN","data","calculated from conc "
2458,419476,0.54,452,0.121212121212121,7000,7000,848.484848484849,"COUN","data","calculated from conc "
2458,419477,0.56,469,0.117647058823529,25000,25000,2941.17647058822,"COUN","data","calculated from conc "
2458,419478,0.58,486,0.11764705882353,25000,25000,2941.17647058824,"COUN","data","calculated from conc "
2458,419479,0.6,503,0.198019801980198,4000,4000,792.079207920792,"COUN","data","calculated from conc "
2458,419480,0.7,587,0.119760479041916,32000,32000,3832.33532934132,"COUN","data","calculated from conc "
2458,419481,0.8,670,0.119760479041916,336000,336000,40239.5209580838,"COUN","data","calculated from conc "
2458,419482,0.9,754,0.119047619047619,145000,145000,17261.9047619048,"COUN","data","calculated from conc "
2458,419483,1,838,0.119047619047619,18000,18000,2142.85714285714,"COUN","data","calculated from conc "
2458,419484,1.1,922,0.119047619047619,87000,87000,10357.1428571428,"COUN","data","calculated from conc "
2458,419485,1.2,1006,0.119760479041916,25000,25000,2994.01197604791,"COUN","data","calculated from conc "
2458,419486,1.3,1089,0.119760479041916,18000,18000,2155.68862275449,"COUN","data","calculated from conc "
2458,419487,1.4,1173,0.109289617486339,52000,52000,5683.06010928962,"COUN","data","calculated from conc "
2458,419488,1.5,1272,0.0943396226415095,64000,64000,6037.73584905661,"COUN","data","calculated from conc "
2458,419489,1.6,1385,0.0881057268722466,372000,372000,32775.3303964757,"COUN","data","calculated from conc "
2458,419490,1.7,1499,0.0877192982456141,374000,374000,32807.0175438597,"COUN","data","calculated from conc "
2458,419491,1.8,1613,0.0881057268722466,116000,116000,10220.2643171806,"COUN","data","calculated from conc "
2458,419492,1.9,1726,0.0881057268722468,44000,44000,3876.65198237886,"COUN","data","calculated from conc "
2458,419493,2,1840,0.0877192982456141,69000,69000,6052.63157894737,"COUN","data","calculated from conc "
2458,419494,2.1,1954,0.0881057268722468,39000,39000,3436.12334801762,"COUN","data","calculated from conc "
2458,419495,2.2,2067,0.0881057268722464,22000,22000,1938.32599118942,"COUN","data","calculated from conc "
2458,419496,2.3,2181,0.0877192982456141,87000,87000,7631.57894736843,"COUN","data","calculated from conc "
2458,419497,2.4,2295,0.0881057268722468,2362000,2362000,208105.726872247,"COUN","data","calculated from conc "
2458,419498,2.5,2408,0.0881057268722468,184000,184000,16211.4537444934,"COUN","data","calculated from conc "
2458,419499,2.6,2522,0.0881057268722468,39000,39000,3436.12334801762,"COUN","data","calculated from conc "
2458,419500,2.7,2635,0.0881057268722468,1053000,1053000,92775.3303964759,"COUN","data","calculated from conc "
