"ID_MODEL","ID_SAMPLE","original_est_age"
2,403566,85
2,403567,105
2,403568,126
2,403569,152
2,403570,172
2,403571,193
2,403572,217
2,403573,239
2,403574,261
2,403575,327
2,403576,525
2,403577,545
2,403578,568
2,403579,590
2,403580,611
2,403581,638
2,403582,663
2,403583,690
2,403584,720
2,403585,750
2,403586,1064
2,403587,1188
2,403588,1263
2,403589,1647
2,403590,1816
2,403591,1970
2,403592,2114
2,403593,2266
2,403594,2409
2,403595,2554
2,403596,2702
2,403597,2845
2,403598,2987
2,403599,3098
2,403600,-47
2,403601,34
2,403602,113
2,403603,173
2,403604,231
2,403605,276
2,403606,315
2,403607,353
2,403608,385
2,403609,418
2,403610,441
2,403611,447
2,403612,477
2,403613,487
2,403614,540
2,403615,613
2,403616,706
2,403617,826
2,403618,979
2,403619,1071
2,403620,1173
2,403621,1414
2,403622,1518
2,403623,1857
2,403624,2041
2,403625,2242
2,403626,2697
2,403627,2728
2,403628,3230
2,403629,3266
2,404764,-1
2,404765,4
2,404766,16
2,404767,39
2,404768,61
2,404769,98
2,404770,121
2,404771,149
2,404772,167
2,404773,207
2,404774,252
2,404775,305
2,404776,376
2,404777,426
2,404778,698
2,404779,773
2,404780,1048
2,404781,1636
2,404782,1727
2,404783,1843
2,404784,1990
2,404785,2160
2,404786,2332
2,404787,2544
2,404788,2705
2,404789,2877
2,404790,3071
2,404791,3224
2,404792,3362
2,404793,3473
2,404794,3582
2,404795,3860
2,404796,4090
2,404797,4237
2,404798,4402
2,404799,4564
2,404800,4783
2,404801,5000
2,404802,5254
2,404803,5508
2,404804,5782
2,404805,6036
2,404806,6567
2,404807,6847
2,404808,7061
2,404809,7311
2,404810,7552
2,404811,7763
2,404812,7958
2,404813,8136
2,404814,8361
2,404815,8526
2,404816,8734
2,404817,8893
2,404818,9085
2,404819,9213
2,404820,9357
2,404821,9567
2,404822,9765
2,404823,9950
2,404824,10151
2,404825,10372
2,404826,10616
2,404827,10969
2,404828,11197
2,404829,11541
2,404830,11864
2,404831,12188
3,401964,-46
3,401965,-41
3,401966,-28
3,401967,-14
3,401968,0
3,401969,14
3,401970,27
3,401971,41
3,401972,55
3,401973,68
3,401974,82
3,401975,96
3,401976,109
3,401977,123
3,401978,137
3,401979,150
3,401980,164
3,401981,178
3,401982,191
3,401983,205
3,401984,219
3,401985,232
3,401986,246
3,401987,250
3,401988,260
3,401989,264
3,401990,273
3,401991,287
3,401992,300
3,401993,314
3,401994,328
3,401995,341
3,401996,355
3,401997,368
3,401998,382
3,401999,396
3,402000,409
3,402001,423
3,402002,436
3,402003,450
3,402004,463
3,402005,477
3,402006,490
3,402007,508
3,402008,522
3,402009,535
3,402010,553
3,402011,567
3,402012,580
3,402013,593
3,402014,607
3,402015,611
3,402016,625
3,402017,638
3,402018,652
3,402019,665
3,402020,678
3,402021,692
3,402022,705
3,402023,719
3,402024,733
3,402025,747
3,402026,761
3,402027,790
3,402028,800
3,402029,816
3,402030,831
3,402031,847
3,402032,862
3,402033,878
3,402034,894
3,402035,909
3,402036,919
3,402037,934
3,402038,949
3,402039,963
3,402040,977
3,402041,990
3,402042,1003
3,402043,1016
3,402044,1028
3,402045,1040
3,402046,1051
3,402047,1062
3,402048,1072
3,402049,1082
3,402050,1091
3,402051,1100
3,402052,1109
3,402053,1117
3,402054,1125
3,402055,1133
3,402056,1141
3,402057,1152
3,402058,1160
3,402059,1169
3,402060,1178
3,402061,1187
3,402062,1197
3,402063,1208
3,402064,1220
3,402065,1232
3,402066,1245
3,402067,1258
3,402068,1271
3,402069,1285
3,402070,1298
3,402071,1312
3,403354,-68
3,403355,-25
3,403356,20
3,403357,136
3,403358,202
3,403359,275
3,403360,429
3,403361,465
3,403362,567
3,403363,696
3,403364,864
3,403365,935
3,403366,1033
3,403367,1090
3,403368,1135
3,403369,1207
3,403370,1328
3,403371,1470
3,403372,1575
3,403373,1700
3,403374,1850
3,403375,2055
3,403376,2389
3,403377,2899
3,403378,3389
3,403379,3721
3,403380,4343
3,403381,4678
4,84843,-50
4,84844,-30
4,84845,18
4,84846,141
4,84847,168
4,84848,230
4,84849,268
4,84850,306
4,84851,329
4,84852,347
4,84853,374
4,84854,398
4,84855,429
4,84856,476
4,84857,528
4,84858,624
4,84859,792
4,84860,919
4,84861,1080
4,84862,1189
4,84863,1295
4,84864,1326
4,84865,1411
4,84866,1624
4,84867,1736
4,84868,1932
4,84869,1976
4,84870,2059
4,84871,2134
4,84872,2271
4,125973,14
4,125974,301
4,125975,538
4,125976,806
4,125977,1041
4,125978,1226
4,125979,1329
4,125980,1388
4,125981,1417
4,125982,1426
4,125983,1435
4,125984,1440
4,125985,1444
4,125986,1445
4,125987,1446
4,125988,1462
4,125989,1497
4,125990,1566
4,125991,1636
4,125992,1724
4,125993,1812
4,125994,1900
4,125995,2123
4,125996,2423
4,125997,2829
4,125998,3239
4,125999,3475
4,126028,-59
4,126029,-47
4,126030,-30
4,126031,-11
4,126032,9
4,126033,51
4,126034,100
4,126035,161
4,126036,228
4,126037,314
4,126038,420
4,126039,531
4,126040,596
4,126041,659
4,126042,722
4,126043,823
4,126044,926
4,126045,1057
4,126046,1158
4,126047,1218
4,126048,1309
4,126049,1434
4,126050,1495
4,126051,1624
4,126052,1679
4,134382,-11
4,134383,45
4,134384,101
4,134385,157
4,134386,212
4,134387,333
4,134388,455
4,134389,503
4,134390,606
4,134391,647
4,134392,758
4,134393,852
4,134394,877
4,134395,943
4,134396,967
4,134397,986
4,134398,1005
4,134399,1024
4,134400,1042
4,134401,1061
4,134402,1086
4,134403,1128
4,134404,1203
4,134405,1270
4,134406,1341
4,134407,1425
4,134408,1484
4,134409,1591
4,134410,1778
4,134411,1933
4,134412,2151
4,134413,2226
4,134414,2399
4,134415,2554
4,134416,2613
4,134417,2652
4,135256,-64
4,135257,-59
4,135258,-55
4,135259,-50
4,135260,-43
4,135261,-35
4,135262,-30
4,135263,-25
4,135264,-19
4,135265,-10
4,135266,-4
4,135267,3
4,135268,10
4,135269,18
4,135270,26
4,135271,34
4,135272,43
4,135273,52
4,135274,62
4,135275,67
4,135276,77
4,135277,83
4,135278,94
4,135279,106
4,135280,119
4,135281,125
4,135282,139
4,135283,146
4,135284,161
4,135285,168
4,135286,184
4,135287,192
4,135288,209
4,135289,218
4,135290,246
4,135291,255
4,135292,275
4,135293,296
4,135294,307
4,135295,329
4,135296,340
4,135297,364
4,135298,376
4,135299,414
4,135300,441
4,135301,454
4,135302,497
4,135303,512
4,135304,542
4,135305,573
4,135306,588
4,135307,621
4,135308,654
4,135309,687
4,135310,721
4,135311,739
4,135312,774
4,135313,792
4,135314,846
4,135315,864
4,135316,901
4,135317,938
4,135318,957
4,135319,995
4,135320,1014
4,135321,1053
4,135322,1072
4,135323,1111
4,135324,1131
4,135325,1170
4,135326,1209
4,135327,1249
4,135328,1289
4,135329,1309
4,135330,1349
4,135331,1369
4,135332,1409
4,135333,1450
4,135334,1490
4,135335,1530
4,135336,1570
4,135337,1611
4,135338,1631
4,135339,1671
4,135340,1691
4,135341,1732
4,135342,1752
4,135343,1792
4,135344,1832
4,135345,1873
4,135346,1913
4,135347,1933
4,135348,1973
4,135349,1993
4,135350,2034
4,135351,2054
4,135352,2094
4,135353,2114
4,135354,2155
4,135355,2175
4,135356,-38
4,135357,-22
4,135358,-5
4,135359,11
4,135360,28
4,135361,44
4,135362,61
4,135363,77
4,135364,94
4,135365,110
4,135366,127
4,135367,143
4,135368,160
4,135369,176
4,135370,193
4,135371,209
4,135372,226
4,135373,243
4,135374,259
4,135375,276
4,135376,292
4,135377,309
4,135378,325
4,135379,342
4,135380,358
4,135381,375
4,135382,391
4,135383,408
4,135384,424
4,135385,441
4,135386,457
4,135387,474
4,135388,490
4,135389,507
4,135390,524
4,135391,540
4,135392,557
4,135393,573
4,135394,590
4,135395,606
4,135396,623
4,135397,639
4,135398,656
4,135399,672
4,135400,689
4,135401,705
4,135402,722
4,135403,738
4,135404,755
4,135405,771
4,135406,788
4,135407,804
4,135408,821
4,135409,838
4,135410,854
4,135411,871
4,135412,887
4,135413,904
4,135414,920
4,135415,937
4,135416,953
4,135417,970
4,135418,986
4,135419,1003
4,135420,1019
4,135421,1036
4,135422,1052
4,135423,1069
4,135424,1085
4,135425,1102
4,135426,1119
4,135427,1135
4,135428,1152
4,135429,1168
4,135430,1185
4,135431,1201
4,135432,1218
4,135433,1234
4,135434,1251
4,135435,1267
4,135436,1284
4,135437,1300
4,135438,1317
4,135439,1333
4,135440,1350
4,135441,1366
4,135442,1383
4,135443,1400
4,135444,1416
4,135445,1433
4,135446,1449
4,135447,1466
4,135448,1482
4,135449,1499
4,135450,1515
4,135451,1532
4,135452,1548
4,135453,1565
4,135454,1581
4,135455,1598
4,139580,-54
4,139581,-16
4,139582,23
4,139583,52
4,139584,90
4,139585,129
4,139586,173
4,139587,213
4,139588,230
4,139589,287
4,139590,327
4,139591,367
4,139592,406
4,139593,446
4,139594,525
4,139595,605
4,139596,684
4,139597,763
4,139598,803
4,139599,842
4,139600,882
4,139601,922
4,139602,1001
4,139603,1080
4,139604,1159
4,139605,1242
4,139606,1332
4,139607,1422
4,139608,1512
4,139609,1602
4,139610,1692
4,139611,1781
4,139612,1871
4,139613,-53
4,139614,-41
4,139615,-29
4,139616,-6
4,139617,9
4,139618,25
4,139619,40
4,139620,56
4,139621,87
4,139622,103
4,139623,119
4,139624,141
4,139625,211
4,139626,280
4,139627,349
4,139628,418
4,139629,488
4,139630,557
4,139631,626
4,139632,679
4,139633,697
4,139634,714
4,139635,731
4,139636,749
4,139637,766
4,139638,784
4,139639,801
4,139640,818
4,139641,827
4,139642,831
4,139643,836
4,139644,840
4,139645,845
4,139646,849
4,139647,853
4,139648,858
4,139649,862
4,139650,866
4,139651,871
4,139652,875
4,139653,879
4,139654,884
4,139655,888
4,139656,892
4,139657,897
4,139658,922
4,139659,968
4,139660,1059
4,139661,1105
4,139662,1151
4,139663,1197
4,139664,1243
4,139665,1289
4,139666,1334
4,139667,1380
4,139668,1426
4,139669,1472
4,139670,1518
4,139671,1564
4,139672,1610
4,139673,1655
4,139674,1701
4,139675,1747
4,139676,1885
4,139677,2068
4,139678,2248
5,125945,-28
5,125946,623
5,125947,1050
5,125948,1664
5,125949,2225
5,125950,2666
5,125951,3119
5,125952,3288
5,125953,3440
5,125954,3589
5,125955,3740
5,125956,3899
5,125957,4086
5,125958,4306
5,125959,4503
5,125960,4776
5,125961,4997
5,125962,5183
5,125963,5462
5,125964,5774
5,125965,6077
5,125966,6402
5,125967,6644
5,125968,6911
5,125969,7145
5,125970,7374
5,125971,7786
5,125972,8060
5,126173,-36
5,126174,301
5,126175,369
5,126176,445
5,126177,499
5,126178,561
5,126179,692
5,126180,803
5,126181,989
5,126182,1154
5,126183,1231
5,126184,1303
5,126185,1378
5,126186,1509
5,126187,1627
5,126188,1829
5,126189,1917
5,126190,2094
5,126191,2285
5,126192,2460
5,126193,2847
5,126194,3035
5,126195,3229
5,126196,3370
5,126197,3586
5,126198,3828
5,126199,3900
5,126200,4095
5,126201,4359
5,126202,4418
5,126203,4601
5,126204,4704
5,126205,4779
5,126206,4820
5,130350,-36
5,130351,22
5,130352,134
5,130353,300
5,130354,338
5,130355,414
5,130356,487
5,130357,557
5,130358,645
5,130359,686
5,130360,726
5,130361,786
5,130362,924
5,130363,1009
5,130364,1112
5,130365,1236
5,130366,1386
5,130367,1566
5,130368,1788
5,130369,2059
5,130370,2370
5,130371,2709
5,130372,3062
5,130373,3477
5,401630,7
5,401631,105
5,401632,219
5,401633,316
5,401634,377
5,401635,421
5,401636,483
5,401637,517
5,401638,614
5,401639,779
5,401640,875
5,401641,927
5,401642,1031
5,401643,1107
5,401644,1184
5,401645,1371
5,401646,1447
5,401647,1541
5,401648,1593
5,401649,1742
5,401650,1845
5,401651,1957
5,401652,2022
5,401653,2108
5,401654,2152
5,401655,2248
5,401656,2355
5,401657,2386
5,401658,2461
5,401659,2503
5,401660,2556
5,401661,2575
5,401662,2612
5,401663,2648
5,401664,2665
5,401665,2667
5,401666,2697
5,401667,2712
5,401668,2733
5,401669,2753
5,401670,2771
5,401671,2797
5,401672,2807
5,401673,3483
5,401674,3536
5,401675,3749
5,401676,3887
5,401677,4097
5,401678,4539
5,401679,4753
5,401680,5052
5,401681,5254
5,401682,5429
5,401683,5909
5,401684,6290
5,401685,6515
5,402753,-20
5,402754,57
5,402755,127
5,402756,261
5,402757,419
5,402758,502
5,402759,584
5,402760,692
5,402761,859
5,402762,1015
5,402763,1191
5,402764,1366
5,402765,1544
5,402766,1752
5,402767,1934
5,402768,2146
5,402769,2354
5,402770,2529
5,402771,2784
5,402772,3017
5,402773,3237
5,402774,3460
5,402775,3715
5,402776,3937
5,402777,4190
5,402778,4415
5,402779,4652
5,402780,4871
5,402781,5280
5,402782,5386
5,402783,5493
5,402825,70
5,402826,251
5,402827,473
5,402828,657
5,402829,858
5,402830,1076
5,402831,1271
5,402832,1471
5,402833,1689
5,402834,1927
5,402835,2169
5,402836,2538
5,402837,2834
5,402838,3180
5,402839,3497
5,402840,3805
5,402841,4146
5,402842,4514
5,402843,4917
5,402844,5364
5,402845,5878
5,402846,6404
5,402847,6987
5,402848,7563
5,402849,8185
5,402850,8766
5,402851,9403
5,402852,10105
5,402853,10777
5,402854,11549
6,411549,31
6,411550,71
6,411551,111
6,411552,150
6,411553,191
6,411554,232
6,411555,273
6,411556,334
6,411557,400
6,411558,434
6,411559,474
6,411560,503
6,411561,582
6,411562,618
6,411563,757
6,411564,826
6,411565,971
6,411566,1042
6,411567,1118
6,411568,1242
6,411569,1276
6,411570,1329
6,411571,1346
6,411572,1359
6,411573,1447
6,411574,1496
6,411575,1511
6,411576,1527
6,411577,1542
6,411578,1604
6,411579,1635
6,411580,1698
6,411581,1730
6,411582,1793
6,411583,1823
6,411584,1855
6,411585,1920
6,411586,1950
6,411587,2044
6,411588,2078
6,411589,2120
6,411590,2163
6,411591,2297
6,411592,2384
6,411593,2428
6,411594,2518
6,411595,2561
6,411596,2606
6,411597,2650
6,411598,2703
6,411599,3295
6,411600,3379
6,411601,3463
6,411602,4136
6,411603,4310
6,411604,4564
6,411605,4647
6,411606,4816
6,411607,5151
6,411608,5407
6,411609,5914
6,411610,6169
9,363158,154
9,363159,267
9,363160,382
9,363161,495
9,363162,608
9,363163,723
9,363164,836
9,363165,952
9,363166,1065
9,363167,1180
9,363168,1294
9,363169,1407
9,363170,1522
9,363171,1637
9,363172,1749
9,363173,1863
9,363174,1975
9,363175,2075
9,363176,2122
9,363177,2160
9,363178,2192
9,363179,2226
9,363180,2259
9,363181,2293
9,363182,2327
9,363183,2360
