"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
15,26,"Taylor OR long core",46.100556,123.906667,4,"lake sediment","Sieved","concentration","IMPD","-999999","2021-05-07",11
54,82,"NG2",44.56,33.62,2,"fluvial/alluvial sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","-777777","2020-03-06",23
55,83,"Yaila-Crimea core",44.48,34.05,1205,"buried organic sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","-777777","2020-03-06",23
79,111,"Kunming CK3_conc",39.98,116.26,48.6,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",134
80,112,"Nanwangcun profile",37,118,10,"fluvial/alluvial sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",22
81,113,"Qindeli peat section",47.92,133.22,74,"bog sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
84,117,"Muchang peat section_conc",43.03,122.2,308.4,"archaeological","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",134
86,120,"Daxigou profile",43.14,86.91,3450,"other","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",22
87,121,"Lijiayuan section",36.11,104.85,1850,"other","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",109
88,122,"Lingtai section",35,107.5,1400,"soil","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",109
91,127,"Longgan Lake core",30.16,116.16,12.1,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-999999","2021-05-07",135
198,247,"Karakol core",42.83,77.39,2353,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",6
248,305,"Zagas Nuur core",48.5061,90.6099,2376,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-19",149
334,403,"Kichikol core",39.98,73.55,2541,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",6
335,404,"Bakaly core",42.45,72.6,1879,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",6
350,419,"Sakhare core",41.58,45.31,800,"lake sediment","Pollen slide","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",152
