"ID_SITE","ID_ENTITY","entity_name","latitude","longitude","elevation","depositional_context","measurement_method","TYPE","source","core_location","last_updated","ID_UNIT"
1,1,"Cygnet core",44.66,-110.61,2530,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
2,4,"Slough Creek Pond core",44.91,-110.34,1884,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
3,5,"Burnt Knob core",45.7,-114.98,2250,"lake sediment","Sieved","influx","IMPD","central core","2021-05-07",10
4,6,"Baker core",45.891785,-114.263047,2300,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
5,7,"Hoodoo core",46.320193,-114.651545,1770,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
6,9,"Pintlar core",45.84,-113.44,1921,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
8,13,"Bolan core",41.0225,-122.4583,1637,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
11,19,"Crater Lake CA core",41.3836,-122.5797,2288,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
12,21,"Mumbo core",41.191147,-122.510445,1860,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
13,23,"Trail core",44.28,-110.17,2362,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
14,25,"Lost Lake core",45.822988,-123.579517,449,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
19,37,"Como core",37.55,-105.5,3523,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
20,38,"Crane core",36.71,-112.21,2590,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
22,41,"Forest Pond 1 core",43.47,-109.93,2797,"lake sediment","pollen slide","pollen concentration","Global Charcoal Database Version 4","central core","2021-05-07",78
23,42,"Forest Pond 2 core",43.43,-109.95,2766,"lake sediment","pollen slide","pollen concentration","Global Charcoal Database Version 4","central core","2021-05-07",78
25,44,"Head core",37.69,-105.73,2294,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
28,48,"Montezuma Well core",34,-112,1125,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
30,54,"Park Pond 1 core",43.46,-109.95,2705,"lake sediment","-777777","pollen concentration","Global Charcoal Database Version 4","-777777","2020-03-06",78
31,55,"Park Pond 2 core",43.45,-109.94,2714,"lake sediment","-777777","pollen concentration","Global Charcoal Database Version 4","-777777","2020-03-06",78
33,57,"Posy Lake core",37.95,-111.7,2653,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
34,58,"San Joaquin Marsh core",33.65,-117.85,2,"lake sediment","-777777","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",137
41,67,"Martins core",47.71,-123.54,1415,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","-777777","2020-03-06",10
42,68,"Moose core",47.88,-123.35,1508,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","-777777","2020-03-06",11
92,128,"Alamo Bog core",35.91,-106.58,2630,"lake sediment","Sieved","influx","Global Charcoal Database Version 4","central core","2021-05-07",10
93,129,"Chihuahuenos Bog core",36.04,-106.5,2925,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
101,137,"Patterson Lake core",41.3867,-120.2236,2743,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
102,138,"Lily Lake core",41.9758,-120.2097,2042,"lake sediment","Sieved","concentration","Global Charcoal Database Version 4","central core","2021-05-07",11
